idProduct,previous_status,approved,approved_collector_number,recommendation_status,recommended_candidate,validation_status,would_apply,reason
719624,AMBIGUOUS,true,171,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719625,AMBIGUOUS,true,172,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719626,AMBIGUOUS,true,173,RECOMMENDED,173,VALID,True,APPROVED_MANUAL_REVIEW
719627,AMBIGUOUS,true,174,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719628,AMBIGUOUS,true,175,RECOMMENDED,175,VALID,True,APPROVED_MANUAL_REVIEW
719629,AMBIGUOUS,true,176,RECOMMENDED,176,VALID,True,APPROVED_MANUAL_REVIEW
719630,AMBIGUOUS,true,177,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719631,AMBIGUOUS,true,178,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719632,AMBIGUOUS,true,179,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719633,AMBIGUOUS,true,180,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719635,AMBIGUOUS,true,181,RECOMMENDED,181,VALID,True,APPROVED_MANUAL_REVIEW
719637,AMBIGUOUS,true,182,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719638,AMBIGUOUS,true,183,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719639,AMBIGUOUS,true,184,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719640,AMBIGUOUS,true,185,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719641,AMBIGUOUS,true,186,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719642,AMBIGUOUS,true,187,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719643,AMBIGUOUS,true,188,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719644,AMBIGUOUS,true,189,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719645,AMBIGUOUS,true,190,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719646,AMBIGUOUS,true,191,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719647,AMBIGUOUS,true,192,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719648,AMBIGUOUS,true,193,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719649,AMBIGUOUS,true,196,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719650,AMBIGUOUS,true,197,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719651,AMBIGUOUS,true,195,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719652,AMBIGUOUS,true,194,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719653,AMBIGUOUS,true,198,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719654,AMBIGUOUS,true,199,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719655,AMBIGUOUS,true,200,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719656,AMBIGUOUS,true,201,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719657,AMBIGUOUS,true,202,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719658,AMBIGUOUS,true,205,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719659,AMBIGUOUS,true,203,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719660,AMBIGUOUS,true,204,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719661,AMBIGUOUS,true,205,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
