idProduct,product_name,remaining_candidates,reason,recommended_next_action
719633,Omanyte [Tentacular Return],"138,180",PENDING_HUMAN_APPROVAL,Human approval required
719635,Dragonair [Beat | Aqua Slash],"148,181",PENDING_HUMAN_APPROVAL,Human approval required
719637,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],"003,182,198",PENDING_HUMAN_APPROVAL,Human approval required
719638,Charizard ex [Brave Wing | Explosive Vortex],"006,183,199",PENDING_HUMAN_APPROVAL,Human approval required
719639,Blastoise ex [Solid Shell | Twin Cannons],"009,184,200",PENDING_HUMAN_APPROVAL,Human approval required
719640,Arbok ex [Bind Down | Menacing Fangs],"024,185",PENDING_HUMAN_APPROVAL,Human approval required
719641,Ninetales ex [Heat Wave | Mirrored Flames],"038,186",PENDING_HUMAN_APPROVAL,Human approval required
719642,Wigglytuff ex [Expanding Body | Friend Tackle],"040,187",PENDING_HUMAN_APPROVAL,Human approval required
719643,Alakazam ex [Mind Jack | Dimensional Hand],"065,188,201",PENDING_HUMAN_APPROVAL,Human approval required
719644,Golem ex [Dynamic Roll | Rock Blaster],"076,189",PENDING_HUMAN_APPROVAL,Human approval required
719645,Kangaskhan ex [Triple Draw | Incessant Punching],"115,190",PENDING_HUMAN_APPROVAL,Human approval required
719646,Jynx ex [Heart-Stopping Kiss | Icy Wind],"124,191",PENDING_HUMAN_APPROVAL,Human approval required
719647,Zapdos ex [Voltaic Float | Multishot Lightning],"145,192,202",PENDING_HUMAN_APPROVAL,Human approval required
719648,Mew ex [Restart | Genome Hacking],"151,193,205",PENDING_HUMAN_APPROVAL,Human approval required
719649,Erika's Invitation,"160,196,203",PENDING_HUMAN_APPROVAL,Human approval required
719650,Giovanni's Charisma,"161,197,204",PENDING_HUMAN_APPROVAL,Human approval required
719651,Daisy's Help,"158,195",PENDING_HUMAN_APPROVAL,Human approval required
719652,Bill's Transfer,"156,194",PENDING_HUMAN_APPROVAL,Human approval required
719653,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],"003,182,198",PENDING_HUMAN_APPROVAL,Human approval required
719654,Charizard ex [Brave Wing | Explosive Vortex],"006,183,199",PENDING_HUMAN_APPROVAL,Human approval required
719655,Blastoise ex [Solid Shell | Twin Cannons],"009,184,200",PENDING_HUMAN_APPROVAL,Human approval required
719656,Alakazam ex [Mind Jack | Dimensional Hand],"065,188,201",PENDING_HUMAN_APPROVAL,Human approval required
719657,Zapdos ex [Voltaic Float | Multishot Lightning],"145,192,202",PENDING_HUMAN_APPROVAL,Human approval required
719658,Mew ex [Restart | Genome Hacking],"151,193,205",PENDING_HUMAN_APPROVAL,Human approval required
719659,Erika's Invitation,"160,196,203",PENDING_HUMAN_APPROVAL,Human approval required
719660,Giovanni's Charisma,"161,197,204",PENDING_HUMAN_APPROVAL,Human approval required
719661,Mew ex [Restart | Genome Hacking],"151,193,205",PENDING_HUMAN_APPROVAL,Human approval required
