set,collector_number,language,finish,treatment,object_type,name,variant,source
ART SERIES,13,English,nonfoil,Gold-Stamped,art_card,Uncover the Moon-Letters,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,14,English,nonfoil,Standard Art Card,art_card,Uneasy Partings,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,14,English,nonfoil,Gold-Stamped,art_card,Uneasy Partings,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,15,English,nonfoil,Standard Art Card,art_card,Wizard's Staff,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,15,English,nonfoil,Gold-Stamped,art_card,Wizard's Staff,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,16,English,nonfoil,Standard Art Card,art_card,Reverent Howl,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,16,English,nonfoil,Gold-Stamped,art_card,Reverent Howl,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,17,English,nonfoil,Standard Art Card,art_card,"Smaug, the Great Calamity",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,17,English,nonfoil,Gold-Stamped,art_card,"Smaug, the Great Calamity",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,18,English,nonfoil,Standard Art Card,art_card,Smaug's Fury,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,18,English,nonfoil,Gold-Stamped,art_card,Smaug's Fury,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,19,English,nonfoil,Standard Art Card,art_card,"Thorin, Mountain-king",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,19,English,nonfoil,Gold-Stamped,art_card,"Thorin, Mountain-king",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,20,English,nonfoil,Standard Art Card,art_card,Beorn's Hospitality,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,20,English,nonfoil,Gold-Stamped,art_card,Beorn's Hospitality,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,21,English,nonfoil,Standard Art Card,art_card,Dancing from Dark to Dawn,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,21,English,nonfoil,Gold-Stamped,art_card,Dancing from Dark to Dawn,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,22,English,nonfoil,Standard Art Card,art_card,"Thranduil, the Elvenking",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,22,English,nonfoil,Gold-Stamped,art_card,"Thranduil, the Elvenking",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,23,English,nonfoil,Standard Art Card,art_card,Elvenking's Halls,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,23,English,nonfoil,Gold-Stamped,art_card,Elvenking's Halls,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,24,English,nonfoil,Standard Art Card,art_card,Lake-town,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,24,English,nonfoil,Gold-Stamped,art_card,Lake-town,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,25,English,nonfoil,Standard Art Card,art_card,"Tom, Bert, and William",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,25,English,nonfoil,Gold-Stamped,art_card,"Tom, Bert, and William",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,26,English,nonfoil,Standard Art Card,art_card,Dawn of a New Age,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,26,English,nonfoil,Gold-Stamped,art_card,Dawn of a New Age,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,27,English,nonfoil,Standard Art Card,art_card,Flowering of the White Tree,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,27,English,nonfoil,Gold-Stamped,art_card,Flowering of the White Tree,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,28,English,nonfoil,Standard Art Card,art_card,The Gaffer,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,28,English,nonfoil,Gold-Stamped,art_card,The Gaffer,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,29,English,nonfoil,Standard Art Card,art_card,Galadriel's Dismissal,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,29,English,nonfoil,Gold-Stamped,art_card,Galadriel's Dismissal,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,30,English,nonfoil,Standard Art Card,art_card,Orcish Bowmasters,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,30,English,nonfoil,Gold-Stamped,art_card,Orcish Bowmasters,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,31,English,nonfoil,Standard Art Card,art_card,Witch-king of Angmar,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,31,English,nonfoil,Gold-Stamped,art_card,Witch-king of Angmar,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,32,English,nonfoil,Standard Art Card,art_card,"Witch-king, Bringer of Ruin",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,32,English,nonfoil,Gold-Stamped,art_card,"Witch-king, Bringer of Ruin",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,33,English,nonfoil,Standard Art Card,art_card,Call Forth the Tempest,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,33,English,nonfoil,Gold-Stamped,art_card,Call Forth the Tempest,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,34,English,nonfoil,Standard Art Card,art_card,"Aragorn, the Uniter",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,34,English,nonfoil,Gold-Stamped,art_card,"Aragorn, the Uniter",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,35,English,nonfoil,Standard Art Card,art_card,Saruman of Many Colors,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,35,English,nonfoil,Gold-Stamped,art_card,Saruman of Many Colors,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,36,English,nonfoil,Standard Art Card,art_card,"Sauron, the Lidless Eye",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,36,English,nonfoil,Gold-Stamped,art_card,"Sauron, the Lidless Eye",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,37,English,nonfoil,Standard Art Card,art_card,Palantír of Orthanc,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,37,English,nonfoil,Gold-Stamped,art_card,Palantír of Orthanc,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,38,English,nonfoil,Standard Art Card,art_card,Minas Tirith,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,38,English,nonfoil,Gold-Stamped,art_card,Minas Tirith,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,39,English,nonfoil,Standard Art Card,art_card,Mount Doom,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,39,English,nonfoil,Gold-Stamped,art_card,Mount Doom,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,40,English,nonfoil,Standard Art Card,art_card,Rivendell,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,40,English,nonfoil,Gold-Stamped,art_card,Rivendell,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,41,English,nonfoil,Standard Art Card,art_card,Plains,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,41,English,nonfoil,Gold-Stamped,art_card,Plains,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,42,English,nonfoil,Standard Art Card,art_card,Most Decrepit Old Bird,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,42,English,nonfoil,Gold-Stamped,art_card,Most Decrepit Old Bird,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,43,English,nonfoil,Standard Art Card,art_card,Smaug the Magnificent,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,43,English,nonfoil,Gold-Stamped,art_card,Smaug the Magnificent,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,44,English,nonfoil,Standard Art Card,art_card,The Arkenstone,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,44,English,nonfoil,Gold-Stamped,art_card,The Arkenstone,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,45,English,nonfoil,Standard Art Card,art_card,Plains (Summer),unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,45,English,nonfoil,Gold-Stamped,art_card,Plains (Summer),gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,46,English,nonfoil,Standard Art Card,art_card,"Gandalf, Shadow's Foe",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,46,English,nonfoil,Gold-Stamped,art_card,"Gandalf, Shadow's Foe",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,47,English,nonfoil,Standard Art Card,art_card,"Thorin, Company's Leader",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,47,English,nonfoil,Gold-Stamped,art_card,"Thorin, Company's Leader",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,48,English,nonfoil,Standard Art Card,art_card,Dáin of the Ancient Halls,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,48,English,nonfoil,Gold-Stamped,art_card,Dáin of the Ancient Halls,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,49,English,nonfoil,Standard Art Card,art_card,Thranduil the Strategist,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,49,English,nonfoil,Gold-Stamped,art_card,Thranduil the Strategist,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,50,English,nonfoil,Standard Art Card,art_card,Bard's Attendant,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,50,English,nonfoil,Gold-Stamped,art_card,Bard's Attendant,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,51,English,nonfoil,Standard Art Card,art_card,Struggle of Howling Steel,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,51,English,nonfoil,Gold-Stamped,art_card,Struggle of Howling Steel,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,52,English,nonfoil,Standard Art Card,art_card,Signal the Onslaught,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,52,English,nonfoil,Gold-Stamped,art_card,Signal the Onslaught,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,53,English,nonfoil,Standard Art Card,art_card,Tide of Fury and Disorder,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,53,English,nonfoil,Gold-Stamped,art_card,Tide of Fury and Disorder,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,54,English,nonfoil,Standard Art Card,art_card,Mount Gundabad Mobilizes,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,54,English,nonfoil,Gold-Stamped,art_card,Mount Gundabad Mobilizes,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES SCENE,SCENE-01,English,nonfoil,Scene Art Card,art_card,"Fíli and Kíli, Joyous",standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-02,English,nonfoil,Scene Art Card,art_card,"Gandalf, Party Guest",standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-03,English,nonfoil,Scene Art Card,art_card,"Thorin, King of Durin’s Folk",standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-04,English,nonfoil,Scene Art Card,art_card,"Bilbo, Fellow Conspirator",standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-05,English,nonfoil,Scene Art Card,art_card,Bag End Banquet,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-06,English,nonfoil,Scene Art Card,art_card,"Ori, Plate Stacker",standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-07,English,nonfoil,Scene Art Card,art_card,Long-Lost Lances,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-08,English,nonfoil,Scene Art Card,art_card,Dragon-Cursed Halls,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-09,English,nonfoil,Scene Art Card,art_card,Smaug the Impenetrable,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-10,English,nonfoil,Scene Art Card,art_card,Bilbo's Burglaring,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-11,English,nonfoil,Scene Art Card,art_card,Dragon’s Desire,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
ART SERIES SCENE,SCENE-12,English,nonfoil,Scene Art Card,art_card,Necklace of Girion,standard,"Wizards official card image gallery; 12 Scene Box art cards, six per scene box"
