local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_metric,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_item_id,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
12264,magic,"Legolas, Counter of Kills",816,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,5877d76e-4ef3-48be-9223-3d349cf9398a,737035,737035,737035,"Legolas, Counter of Kills",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.09,0,,,,0.09,0.36,0.09,0.47,0.39,Low,0.09,EUR,EUR,cardmarket,737035,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737035, ""history_id"": 378}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737035, ""stored_ids"": [737035], ""validated_stored_ids"": [737035]}",43,1,0.09,0.09,0.0
175,magic,"Legolas, Master Archer",313,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,84cea85e-dfcc-438e-8b24-4b2e251b86dc,716051,716051,716051,"Legolas, Master Archer",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.15,0.77,0.39,0.63,0.89,0.2,1.94,0.79,1.1,1.26,Low,0.15,EUR,EUR,cardmarket,716051,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716051, ""history_id"": 357}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.62,0.8051948051948051,0.1948051948051948,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716051, ""stored_ids"": [716051], ""validated_stored_ids"": [716051]}",44,1,0.15,0.15,0.0
12265,magic,"Gimli, Counter of Kills",804,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,579907d0-3f52-408b-8891-f82eda430c06,737023,737023,737023,"Gimli, Counter of Kills",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.1,0.35,0.35,0.35,0.35,0.1,0.23,0.14,0.28,0.29,Low,0.1,EUR,EUR,cardmarket,737023,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737023, ""history_id"": 379}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.24999999999999997,0.7142857142857143,0.28571428571428575,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737023, ""stored_ids"": [737023], ""validated_stored_ids"": [737023]}",45,1,0.1,0.1,0.0
13804,magic,"Gimli, Mournful Avenger",815,ltr,The Lord of the Rings: Tales of Middle-earth,en,Surge Foil,rare,foil,Surge Foil,406,scryfall_oracle:9f3941d8-b4d2-4faf-881a-f15973b4368d,,,44f74a7c-9bf1-4bd9-ac56-8a186ac140f0,737034,,737034,"Gimli, Mournful Avenger",5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,2.5,0,,,,2.5,2.82,2.6,2.63,2.67,Foil Low,2.5,EUR,EUR,cardmarket,737034,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737034, ""history_id"": 352}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 737034, ""stored_ids"": [737034], ""validated_stored_ids"": [737034]}",46,2,5.0,,
12868,magic,"Boromir, Warden of the Tower",302,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,547,scryfall_oracle:d72b57e5-1c6e-4f02-968f-7e2dd24f0d3c,,,e186ef93-f369-4b4d-a683-36f338b6ce3f,716042,,716042,"Boromir, Warden of the Tower",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,3.39,6.19,6.27,6.1,5.86,3.99,6.97,7.49,6.2,6.61,Foil Low,3.99,EUR,EUR,cardmarket,716042,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716042, ""history_id"": 346}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716042, ""stored_ids"": [716042], ""validated_stored_ids"": [716042]}",47,1,3.99,,
12267,magic,Gandalf the Grey,814,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Surge Foil Booster Fun,,,,,,,,33263c8a-6d9c-4c7c-9238-cef4a5057a97,737033,737033,737033,Gandalf the Grey,5489,The Lord of the Rings: Tales of Middle-earth,,,exact,6.94,0,,,,6.94,8.17,7.4,7.71,7.49,Low,6.94,EUR,EUR,cardmarket,737033,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737033, ""history_id"": 380}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737033, ""stored_ids"": [737033], ""validated_stored_ids"": [737033]}",48,1,6.94,6.94,0.0
147,magic,Gandalf the White,305,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,2c9dc67a-5c26-4044-82b6-d5b6e195ae64,716023,716023,716023,Gandalf the White,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,4,19.45,14.29,24.35,15.04,5.99,22.54,20.48,30.78,22.29,Low,4.0,EUR,EUR,cardmarket,716023,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716023, ""history_id"": 354}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-15.45,0.794344473007712,0.20565552699228792,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716023, ""stored_ids"": [716023], ""validated_stored_ids"": [716023]}",49,1,4.0,4.0,0.0
12268,magic,"Gandalf, Friend of the Shire",800,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,98023ab4-50f4-4789-a632-162ef8270871,736849,736849,736849,"Gandalf, Friend of the Shire",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.04,0,,,,0.04,0.39,0.29,0.46,0.38,Low,0.04,EUR,EUR,cardmarket,736849,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 736849, ""history_id"": 381}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 736849, ""stored_ids"": [736849], ""validated_stored_ids"": [736849]}",50,1,0.04,0.04,0.0
412,magic,"Elrond, Lord of Rivendell",307,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,308465a9-2143-49f2-b9d0-a09272dd1b62,717750,717750,717750,"Elrond, Lord of Rivendell",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.02,0.1,0.09,0.11,0.1,0.02,0.29,0.23,0.22,0.23,Low,0.02,EUR,EUR,cardmarket,717750,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717750, ""history_id"": 370}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.08,0.7999999999999999,0.19999999999999998,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 717750, ""stored_ids"": [717750], ""validated_stored_ids"": [717750]}",51,1,0.02,0.02,0.0
12269,magic,"Elrond, Master of Healing",810,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Surge Foil Booster Fun,,,,,,,,a064f8e3-c762-4f0b-9171-911774bc696b,737029,737029,737029,"Elrond, Master of Healing",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,2.75,0,,,,2.75,3.22,3,3.56,3.22,Low,2.75,EUR,EUR,cardmarket,737029,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737029, ""history_id"": 382}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737029, ""stored_ids"": [737029], ""validated_stored_ids"": [737029]}",52,1,2.75,2.75,0.0
12270,magic,"Faramir, Field Commander",795,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,49dcf2f3-328e-42ba-b274-7ed041e57723,736844,736844,736844,"Faramir, Field Commander",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.04,0,,,,0.04,0.35,0.3,0.36,0.36,Low,0.04,EUR,EUR,cardmarket,736844,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 736844, ""history_id"": 383}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 736844, ""stored_ids"": [736844], ""validated_stored_ids"": [736844]}",53,2,0.08,0.08,0.0
389,magic,"Faramir, Prince of Ithilien",319,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,2faf5eee-c378-4ddf-a172-c0a703757fff,717727,717727,717727,"Faramir, Prince of Ithilien",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.1,0.52,0.38,0.48,0.49,0.2,0.8,0.47,0.61,0.64,Low,0.1,EUR,EUR,cardmarket,717727,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717727, ""history_id"": 369}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.42000000000000004,0.8076923076923077,0.19230769230769232,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 717727, ""stored_ids"": [717727], ""validated_stored_ids"": [717727]}",54,1,0.1,0.1,0.0
415,magic,Galadriel of Lothlórien,321,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,a971745b-5d5c-46bb-95ca-329b6ee7ed75,717753,717753,717753,Galadriel of Lothlórien,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.2,0.8,1.7,0.81,0.95,0.39,2.03,1.87,2.05,1.39,Low,0.2,EUR,EUR,cardmarket,717753,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717753, ""history_id"": 371}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.6000000000000001,0.7500000000000001,0.25,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 717753, ""stored_ids"": [717753], ""validated_stored_ids"": [717753]}",55,1,0.2,0.2,0.0
12271,magic,"Gollum, Patient Plotter",801,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,94ff9b1d-bbcd-44da-9eba-3dcad13aabaa,736850,736850,736850,"Gollum, Patient Plotter",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.15,0,,,,0.15,0.55,0.28,0.5,0.49,Low,0.15,EUR,EUR,cardmarket,736850,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 736850, ""history_id"": 384}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 736850, ""stored_ids"": [736850], ""validated_stored_ids"": [736850]}",56,1,0.15,0.15,0.0
201,magic,Saruman of Many Colors,328,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,018238ae-b740-4185-8747-b68f6d1e7989,716077,716077,716077,Saruman of Many Colors,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,1,3.09,2.49,3.78,2.6,1.9,6.26,7.69,6.78,4.83,Low,1.0,EUR,EUR,cardmarket,716077,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716077, ""history_id"": 365}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-2.09,0.6763754045307443,0.3236245954692557,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716077, ""stored_ids"": [716077], ""validated_stored_ids"": [716077]}",57,1,1.0,1.0,0.0
196,magic,"Sauron, the Dark Lord",329,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,b83261ba-c239-4b6a-88eb-bdfc411916b3,716072,716072,716072,"Sauron, the Dark Lord",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,7.99,18.26,18.26,17.33,15.71,9,23.4,22.43,22.31,21.35,Low,7.99,EUR,EUR,cardmarket,716072,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716072, ""history_id"": 364}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-10.270000000000001,0.5624315443592552,0.43756845564074476,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716072, ""stored_ids"": [716072], ""validated_stored_ids"": [716072]}",58,1,7.99,7.99,0.0
193,magic,"Sauron, the Necromancer",310,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,24521350-ffa6-46d9-95ed-6573c681e095,716069,716069,716069,"Sauron, the Necromancer",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.08,0.53,0.55,0.49,0.57,0.3,1.31,0.8,1.6,1.23,Low,0.08,EUR,EUR,cardmarket,716069,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716069, ""history_id"": 362}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.45,0.8490566037735849,0.1509433962264151,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716069, ""stored_ids"": [716069], ""validated_stored_ids"": [716069]}",59,1,0.08,0.08,0.0
437,magic,"Sméagol, Helpful Guide",330,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,b3ebf3a3-3dd1-48e0-ad84-c3295de2e032,717775,717775,717775,"Sméagol, Helpful Guide",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.05,0.52,0.87,0.56,0.51,0.35,1.35,0.62,0.82,1.06,Low,0.05,EUR,EUR,cardmarket,717775,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717775, ""history_id"": 372}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.47000000000000003,0.9038461538461539,0.09615384615384616,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 717775, ""stored_ids"": [717775], ""validated_stored_ids"": [717775]}",60,1,0.05,0.05,0.0
21,magic,Tom Bombadil,331,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,3c7ce623-bcf8-4d42-8a88-450bea7d7529,701768,701768,701768,Tom Bombadil,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.99,3.39,4,3.56,3.47,1.51,6.38,5.99,5.32,6.1,Low,0.99,EUR,EUR,cardmarket,701768,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 701768, ""history_id"": 353}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-2.4000000000000004,0.7079646017699116,0.2920353982300885,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 701768, ""stored_ids"": [701768], ""validated_stored_ids"": [701768]}",61,1,0.99,0.99,0.0
12272,magic,Rohirrim Chargers,496,ltr,The Lord of the Rings: Tales of Middle-earth,en,Borderless Full Art Foil Booster Fun,,,,,,,,070df7db-bee4-456b-864e-69d493f09dc2,736524,736524,736524,Rohirrim Chargers,5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.06,0.33,0.25,0.32,0.31,0.09,0.39,0.3,0.32,0.35,Low,0.06,EUR,EUR,cardmarket,736524,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 736524, ""history_id"": 385}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.27,0.8181818181818182,0.1818181818181818,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 736524, ""stored_ids"": [736524], ""validated_stored_ids"": [736524]}",62,1,0.06,0.06,0.0
