collection_item_id,game,card_name,card_number,language,set_code,version,promo_family,previous_status,final_candidate_status,cardmarket_id_product,cardmarket_url,resolution_rule,evidence,provenance_gap,physical_check_required,physical_check_instruction,notes
43,Magic,"Legolas, Counter of Kills",816,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,737035,https://www.cardmarket.com/en/Magic/Products?idProduct=737035,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
44,Magic,"Legolas, Master Archer",313,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716051,https://www.cardmarket.com/en/Magic/Products?idProduct=716051,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
45,Magic,"Gimli, Counter of Kills",804,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,737023,https://www.cardmarket.com/en/Magic/Products?idProduct=737023,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
46,Magic,"Gimli, Mournful Avenger",815,en,LTR,,,AMBIGUOUS,EXACT,737034,https://www.cardmarket.com/en/Magic/Products?idProduct=737034&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=44f74a7c-9bf1-4bd9-ac56-8a186ac140f0; raw set=ltr + collector_number=815 + cardmarket_id=737034; finish=foil is present; treatment=Surge Foil is compatible because promo_types contains surgefoil; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
47,Magic,"Boromir, Warden of the Tower",302,en,LTR,,,AMBIGUOUS,EXACT,716042,https://www.cardmarket.com/en/Magic/Products?idProduct=716042&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=e186ef93-f369-4b4d-a683-36f338b6ce3f; raw set=ltr + collector_number=302 + cardmarket_id=716042; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
48,Magic,Gandalf the Grey,814,en,LTR,Showcase Borderless Foil Surge Foil Booster Fun,,EXACT,EXACT,737033,https://www.cardmarket.com/en/Magic/Products?idProduct=737033,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
49,Magic,Gandalf the White,305,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716023,https://www.cardmarket.com/en/Magic/Products?idProduct=716023,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
50,Magic,"Gandalf, Friend of the Shire",800,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,736849,https://www.cardmarket.com/en/Magic/Products?idProduct=736849,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
51,Magic,"Elrond, Lord of Rivendell",307,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,717750,https://www.cardmarket.com/en/Magic/Products?idProduct=717750,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
52,Magic,"Elrond, Master of Healing",810,en,LTR,Showcase Borderless Foil Surge Foil Booster Fun,,EXACT,EXACT,737029,https://www.cardmarket.com/en/Magic/Products?idProduct=737029,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
53,Magic,"Faramir, Field Commander",795,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,736844,https://www.cardmarket.com/en/Magic/Products?idProduct=736844,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
54,Magic,"Faramir, Prince of Ithilien",319,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,717727,https://www.cardmarket.com/en/Magic/Products?idProduct=717727,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
55,Magic,Galadriel of Lothlórien,321,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,717753,https://www.cardmarket.com/en/Magic/Products?idProduct=717753,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
56,Magic,"Gollum, Patient Plotter",801,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,736850,https://www.cardmarket.com/en/Magic/Products?idProduct=736850,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
57,Magic,Saruman of Many Colors,328,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716077,https://www.cardmarket.com/en/Magic/Products?idProduct=716077,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
58,Magic,"Sauron, the Dark Lord",329,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716072,https://www.cardmarket.com/en/Magic/Products?idProduct=716072,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
59,Magic,"Sauron, the Necromancer",310,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716069,https://www.cardmarket.com/en/Magic/Products?idProduct=716069,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
60,Magic,"Sméagol, Helpful Guide",330,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,717775,https://www.cardmarket.com/en/Magic/Products?idProduct=717775,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
61,Magic,Tom Bombadil,331,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,701768,https://www.cardmarket.com/en/Magic/Products?idProduct=701768,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
62,Magic,Rohirrim Chargers,496,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,736524,https://www.cardmarket.com/en/Magic/Products?idProduct=736524,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
63,Magic,Sword of the Animist,385,en,LTC,Borderless Full Art Foil Surge Foil Booster Fun,,EXACT,EXACT,717998,https://www.cardmarket.com/en/Magic/Products?idProduct=717998,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
64,Magic,Gandalf of the Secret Fire,507,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,736555,https://www.cardmarket.com/en/Magic/Products?idProduct=736555,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
65,Magic,Shortcut to Mushrooms,638,en,LTR,,,MISMATCH,EXACT,738134,https://www.cardmarket.com/en/Magic/Products?idProduct=738134&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=aab671b7-afb3-4d99-8f6d-3240f31508d7; raw set=ltr + collector_number=638 + cardmarket_id=738134; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
66,Magic,"Shadowfax, Lord of Horses",227,en,LTR,Foil,,EXACT,EXACT,716135,https://www.cardmarket.com/en/Magic/Products?idProduct=716135,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
67,Magic,Fall of Gil-galad,165,en,LTR,fbaab2c0-ea18-4b2f-b75b-506cbbea97e1:foil,,EXACT,EXACT,716004,https://www.cardmarket.com/en/Magic/Products?idProduct=716004,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
68,Magic,Book of Mazarbul,116,en,LTR,04dcef75-6f98-4233-ae32-6fe41724c8e0:foil,,EXACT,EXACT,716003,https://www.cardmarket.com/en/Magic/Products?idProduct=716003,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
69,Magic,Long List of the Ents,625,en,LTR,Showcase Foil Silver Foil Scroll Booster Fun,,EXACT,EXACT,738108,https://www.cardmarket.com/en/Magic/Products?idProduct=738108,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
70,Magic,The Bath Song,491,en,LTR,,,MISMATCH,EXACT,737571,https://www.cardmarket.com/en/Magic/Products?idProduct=737571&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=9dc2521f-d9a5-4ae7-b5dc-bf0504e66345; raw set=ltr + collector_number=491 + cardmarket_id=737571; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
71,Magic,One Ring to Rule Them All,102,en,LTR,bb2dc2e0-f393-4442-818b-d3b860bfffd0:foil,,EXACT,EXACT,715916,https://www.cardmarket.com/en/Magic/Products?idProduct=715916,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
73,Magic,Oath of the Grey Host,101,en,LTR,6a780abd-f276-40d3-b2af-d2e47d858d3d:foil,,EXACT,EXACT,717047,https://www.cardmarket.com/en/Magic/Products?idProduct=717047,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
74,Magic,Tale of Tinúviel,34,en,LTR,9ae65f96-7bfd-4390-88bf-764c26bf4668:foil,,EXACT,EXACT,716129,https://www.cardmarket.com/en/Magic/Products?idProduct=716129,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
75,Magic,War of the Last Alliance,36,en,LTR,60ddf2cd-5b33-4c8a-a610-8e6a15404dde:foil,,EXACT,EXACT,716133,https://www.cardmarket.com/en/Magic/Products?idProduct=716133,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
76,Magic,"Frodo, Sauron's Bane",448,en,LTR,Borderless Full Art Foil Booster Fun Bundle,,EXACT,EXACT,716081,https://www.cardmarket.com/en/Magic/Products?idProduct=716081,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
77,Magic,Pippin's Bravery,414,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,716056,https://www.cardmarket.com/en/Magic/Products?idProduct=716056,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
78,Magic,Gandalf the White,442,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,716063,https://www.cardmarket.com/en/Magic/Products?idProduct=716063,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
79,Magic,"Gandalf, Friend of the Shire",401s,en,PLTC,Borderless Full Art Foil Prerelease Datestamped,,EXACT,EXACT,719346,https://www.cardmarket.com/en/Magic/Products?idProduct=719346,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
80,Magic,Prince Imrahil the Fair,431,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,716025,https://www.cardmarket.com/en/Magic/Products?idProduct=716025,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
81,Magic,Knights of Dol Amroth,432,en,LTR,Borderless Full Art Foil Booster Fun,,EXACT,EXACT,716066,https://www.cardmarket.com/en/Magic/Products?idProduct=716066,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
82,Magic,"Gimli, Mournful Avenger",436,en,LTR,,,AMBIGUOUS,EXACT,716059,https://www.cardmarket.com/en/Magic/Products?idProduct=716059&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e; raw set=ltr + collector_number=436 + cardmarket_id=716059; finish=foil is present; treatment=Scene is compatible because full_art=true and frame_effects contains inverted; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
83,Magic,The One Ring,451,en,LTR,Borderless Full Art Foil Booster Fun Bundle,,EXACT,EXACT,716083,https://www.cardmarket.com/en/Magic/Products?idProduct=716083,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
84,Magic,Art Series: Fog on the Barrow-Downs,ART-2,en,LTR,V2,,AMBIGUOUS,EXACT,718546,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-2, Gold-Stamped, idProduct 718546. Provenance original: gold_stamp, EN, ART-2.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
86,Magic,"Art Series: Goldberry, River-Daughter",ART-6,en,LTR,V2,,AMBIGUOUS,EXACT,718554,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-6, Gold-Stamped, idProduct 718554. Provenance original: gold_stamp, EN, ART-6.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
87,Magic,Art Series: The Watcher in the Water,ART-7,en,LTR,V2,,AMBIGUOUS,EXACT,718555,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-The-Watcher-in-the-Water-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-7, Gold-Stamped, idProduct 718555. Provenance original: gold_stamp, EN, ART-7.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
88,Magic,Art Series: Éomer of the Riddermark,ART-9,en,LTR,V2,,AMBIGUOUS,EXACT,718559,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Eomer-of-the-Riddermark-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-9, Gold-Stamped, idProduct 718559. Provenance original: gold_stamp, EN, ART-9.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
89,Magic,"Art Series: Gimli, Counter of Kills",ART-10,en,LTR,V2,,AMBIGUOUS,EXACT,718561,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Gimli-Counter-of-Kills-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-10, Gold-Stamped, idProduct 718561. Provenance original: gold_stamp, EN, ART-10.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
90,Magic,Art Series: Generous Ent,ART-11,en,LTR,V2,,AMBIGUOUS,EXACT,718563,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Generous-Ent-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-11, Gold-Stamped, idProduct 718563. Provenance original: gold_stamp, EN, ART-11.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
91,Magic,Art Series: Mirrormere Guardian,ART-12,en,LTR,,,AMBIGUOUS,EXACT,718565,https://www.cardmarket.com/en/Magic/Products?idProduct=718565,MAGIC_ART_SERIES_MANUAL_WEB,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique local Cardmarket idProduct=718565 embedded in historical Cardmarket image URL; original import proves gold_stamp + ART-12 + name + EN + LTR; URL selects one product among 718565|718566. Current mapping is evidence only.,true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
92,Magic,"Art Series: Bilbo, Retired Burglar",ART-14,en,LTR,V2,,AMBIGUOUS,EXACT,718575,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Bilbo-Retired-Burglar-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-14, Gold-Stamped, idProduct 718575. Provenance original: gold_stamp, EN, ART-14.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
93,Magic,"Art Series: Legolas, Counter of Kills",ART-17,en,LTR,V2,,AMBIGUOUS,EXACT,718582,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Legolas-Counter-of-Kills-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-17, Gold-Stamped, idProduct 718582. Provenance original: gold_stamp, EN, ART-17.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
94,Magic,Art Series: Saruman of Many Colors,ART-20,en,LTR,V2,,AMBIGUOUS,EXACT,718601,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Saruman-of-Many-Colors-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-20, Gold-Stamped, idProduct 718601. Provenance original: gold_stamp, EN, ART-20.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
95,Magic,"Art Series: Sharkey, Tyrant of the Shire",ART-22,en,LTR,V2,,AMBIGUOUS,EXACT,718605,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Sharkey-Tyrant-of-the-Shire-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-22, Gold-Stamped, idProduct 718605. Provenance original: gold_stamp, EN, ART-22.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
96,Magic,"Art Series: Shelob, Child of Ungoliant",ART-23,en,LTR,V2,,AMBIGUOUS,EXACT,718606,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Shelob-Child-of-Ungoliant-V2,MAGIC_ART_SERIES_MANUAL_WEB,"Prior provenance audit: EXACT_RECOVERED con unique idProduct. Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-23, Gold-Stamped, idProduct 718606. Provenance original: gold_stamp, EN, ART-23.",true,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
