collection_item_id,card_name,card_number,collection_set,collection_language,conflict_type,candidate_count,candidate_1_id,candidate_1_url,candidate_1_identity,candidate_2_id,candidate_2_url,candidate_2_identity,candidate_3_id,candidate_3_url,candidate_3_identity,local_evidence,distinguishing_attribute,diagnostic_category,proposed_rule,physical_check_needed,notes
143,Nefeltari Vivi,EB02-026,eb-02,jp,LANGUAGE,2,808127,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/Nefeltari-Vivi-EB02-026-V1,"EB02-JP / Anime 25th Collection (Non-English), V.1",823455,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection/Nefeltari-Vivi-EB02-026-V1,"EB02 / Anime 25th Collection, V.1",,"","", "CardTrader Blueprint 330373 exact jp; stored candidate 823455 is mixed-language; catalogue also has 808127",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: EB02-JP/Non-English V.1 for JP base printing; validate the exact Japanese scope before applying.",YES,"The prior local candidate list omitted the parallel EB02-JP product because provenance stored only the English-family ID."
144,S-Snake,OP08-112,op08,jp,LANGUAGE,2,771756,https://www.cardmarket.com/en/OnePiece/Products/Singles/Two-Legends-Non-English/S-Snake-OP08-112-V1,"OP08-JP / Two Legends (Non-English), V.1",788021,https://www.cardmarket.com/en/OnePiece/Products/Singles/Two-Legends/S-Snake-OP08-112-V1,"OP08 / Two Legends, V.1",,"","", "CardTrader Blueprint 299411 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP08-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"Cardmarket also exposes V.2 alternate-art products for both language families."
145,Koala,OP05-006,op05,jp,LANGUAGE,2,733281,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Koala-OP05-006-V1,"OP05-JP / Awakening of the New Era (Non-English), V.1",747444,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/Koala-OP05-006-V1,"OP05 / Awakening of the New Era, V.1",,"","", "CardTrader Blueprint 268463 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP05-JP/Non-English V.1 for JP base printing; exact-language validation remains mandatory.",YES,"Cardmarket versions page confirms OP05, OP05-JP, PRB01 and promo families; only OP05 local identity is in scope."
146,Monkey.D.Luffy,OP01-024,op01,jp,LANGUAGE,2,768265,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/MonkeyDLuffy-OP01-024-V1,"OP01-JP / Romance Dawn (Japanese), V.1",690823,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/MonkeyDLuffy-OP01-024-V1,"OP01 / Romance Dawn, V.1",,"","", "CardTrader Blueprint 244509 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP01-JP/ Japanese V.1 for JP base printing; exact-language evidence required.",YES,"Cardmarket versions page shows OP01 English/Japanese and PRB01 families; PRB01 excluded by local set."
147,Yamato,EB02-006,eb-02,jp,LANGUAGE,2,808101,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/Yamato-EB02-006-V1,"EB02-JP / Anime 25th Collection (Non-English), V.1",823429,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection/Yamato-EB02-006-V1,"EB02 / Anime 25th Collection, V.1",,"","", "CardTrader Blueprint 330347 exact jp; stored candidate 823429 is mixed-language; catalogue also has 808101",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: EB02-JP/Non-English V.1 for JP base printing; validate exact language before production use.",YES,"The local external provenance retained only the English-family product ID."
148,Pica,OP05-032,op05,jp,LANGUAGE,2,733317,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Pica-OP05-032-V1,"OP05-JP / Awakening of the New Era (Non-English), V.1",747476,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/Pica-OP05-032-V1,"OP05 / Awakening of the New Era, V.1",,"","", "CardTrader Blueprint 270404 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP05-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"No price used."
149,Kin'emon,OP01-040,op01,jp,LANGUAGE,2,768285,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/Kinemon-OP01-040-V1,"OP01-JP / Romance Dawn (Japanese), V.1",690844,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/Kinemon-OP01-040-V1,"OP01 / Romance Dawn, V.1",,"","", "CardTrader Blueprint 244548 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP01-JP/Japanese V.1 for JP base printing; exact-language evidence required.",YES,"No price used."
150,Trafalgar Law,EB02-045,eb-02,jp,LANGUAGE,2,808150,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/Trafalgar-Law-EB02-045-V1,"EB02-JP / Anime 25th Collection (Non-English), V.1",823481,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection/Trafalgar-Law-EB02-045-V1,"EB02 / Anime 25th Collection, V.1",,"","", "CardTrader Blueprint 330404 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: EB02-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"Cardmarket versions page shows English/Japanese family separation."
151,Uta,OP13-023,op13,jp,LANGUAGE,2,857215,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Uta-OP13-023-V1,"OP13-JP / Carrying on his Will (Non-English), V.1",845271,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will/Uta-OP13-023-V1,"OP13 / Carrying on his Will, V.1",,"","", "CardTrader Blueprint 354345 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP13-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"No price used."
152,Trafalgar Law,P-038,promo,jp,PROMO,4,722798,https://www.cardmarket.com/en/OnePiece/Products/Singles/Promos-Japanese/Trafalgar-Law-P-038,"Promos (Japanese), P-038",766644,https://www.cardmarket.com/en/OnePiece/Products/Singles/Promos/Trafalgar-Law-P-038,"Promos, P-038",787443,https://www.cardmarket.com/en/OnePiece/Products/Singles/Special-Tournaments-Promos/Trafalgar-Law-P-038-V1,"Special Tournament Promos, P-038, V.1", "CardTrader Blueprint 256657 exact jp; local set=promo and language=jp; Cardmarket also has STP family",promo family / Japanese vs STP,INDIVIDUAL_WEB_RESOLUTION,"Diagnostic proposal: P-038 JP maps to Promos (Japanese), not generic Promos or Special Tournament Promos; confirm the physical promo release before approval.",YES,"Additional catalogue candidate 787505 is Special Tournament Promos P-038 V.2; no price-based selection."
153,Stussy,OP13-110,op13,jp,LANGUAGE,2,857326,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Stussy-OP13-110-V1,"OP13-JP / Carrying on his Will (Non-English), V.1",845660,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will/Stussy-OP13-110-V1,"OP13 / Carrying on his Will, V.1",,"","", "CardTrader Blueprint 354353 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP13-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"No price used."
154,King,OP01-096,op01,jp,MULTIPLE_FACTORS,4,768358,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/King-OP01-096-V1,"OP01-JP / Romance Dawn (Japanese), V.1",690929,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/King-OP01-096-V1,"OP01 / Romance Dawn, V.1",690930,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/King-OP01-096-V2,"OP01 / Romance Dawn, V.2", "CardTrader Blueprint 244639 exact jp; local variant=Fixed Reprint; stored IDs are V.1 family candidates",language family plus fixed-reprint V.1/V.2,LIKELY_PHYSICAL_CONFIRMATION,"Do not infer Fixed Reprint from the local label alone; verify physical errata/reprint marker, then choose the OP01-JP V.1/V.2 product family.",YES,"Additional candidate 768359 is the OP01-JP V.2 URL counterpart."
155,Rebecca,OP05-091,op05,jp,LANGUAGE,2,733426,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Rebecca-OP05-091-V1,"OP05-JP / Awakening of the New Era (Non-English), V.1",747775,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/Rebecca-OP05-091-V1,"OP05 / Awakening of the New Era, V.1",,"","", "CardTrader Blueprint 269205 exact jp; local Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP05-JP/Non-English V.1 for JP base printing; exact-language evidence required.",YES,"Cardmarket versions page also shows PRB02, OP06 and STP reprints; local OP05 set excludes them."
