collection_item_id,printing_id,game,card_name,set,card_number,collector_number,language,variant,finish,treatment,candidate_cardmarket_product_id,candidate_product_name,candidate_expansion,evidence,proposed_status,row_hash,approved,selected_cardmarket_product_id,manifest_id
143,21085,one_piece,Nefeltari Vivi,eb-02,EB02-026,EB02-026,jp,Base,,,823455,Nefeltari Vivi (EB02-026),6028,"{""external_provenance"": [{""exact_language"": false, ""id"": 823455, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823455], ""validated_stored_ids"": [823455]}",AMBIGUOUS,0b3cc8f1fd86ff1b0bd5024bae6ae64c69032e7619410265b78746ccad6d9936,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
144,19531,one_piece,S-Snake,op08,OP08-112,OP08-112,jp,Base,,,771756|788021,S-Snake (OP08-112)|S-Snake (OP08-112),5744|5610,"{""external_provenance"": [{""exact_language"": false, ""id"": 771756, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 788021, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [771756, 788021], ""validated_stored_ids"": [771756, 788021]}",AMBIGUOUS,b8a40254fb1537dc5c68ab950e5c8b0a4e6fdde01dcd3a7617a7d25bcfc0f57c,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
145,17141,one_piece,Koala,op05,OP05-006,OP05-006,jp,Base,,,733281|747444,Koala (OP05-006)|Koala (OP05-006),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733281, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747444, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733281, 747444], ""validated_stored_ids"": [733281, 747444]}",AMBIGUOUS,85f70fc8524bb1c942096fa06f2b00557691ab32e92b376cfc19c66cb0cec381,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
146,15326,one_piece,Monkey.D.Luffy,op01,OP01-024,OP01-024,jp,Base,,,690823|768265,Monkey.D.Luffy (OP01-024)|Monkey.D.Luffy (OP01-024),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690823, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768265, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690823, 768265], ""validated_stored_ids"": [690823, 768265]}",AMBIGUOUS,4e3be1fbda990511b9ef00265d931fc3ee5285e496886757b89a9df125bf69f0,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
147,21059,one_piece,Yamato,eb-02,EB02-006,EB02-006,jp,Base,,,823429,Yamato (EB02-006),6028,"{""external_provenance"": [{""exact_language"": false, ""id"": 823429, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823429], ""validated_stored_ids"": [823429]}",AMBIGUOUS,2eac32370cde8c00dd7a8ead2050e664d0507da9deeb895b687096ae600da822,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
148,17335,one_piece,Pica,op05,OP05-032,OP05-032,jp,Base,,,733317|747476,Pica (OP05-032)|Pica (OP05-032),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733317, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747476, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733317, 747476], ""validated_stored_ids"": [733317, 747476]}",AMBIGUOUS,fbf2bc0b04969ac88070ccc7313ad929acf3586d4c4b10c30a095dbe818d555a,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
149,15366,one_piece,Kin'emon,op01,OP01-040,OP01-040,jp,Base,,,690844|768285,Kin'emon (OP01-040)|Kin'emon (OP01-040),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690844, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768285, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690844, 768285], ""validated_stored_ids"": [690844, 768285]}",AMBIGUOUS,58f1c6ef1467232700b8ea0387902cd7bda0029bcee2a20ade6c1bba8bbbd5fb,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
150,21108,one_piece,Trafalgar Law,eb-02,EB02-045,EB02-045,jp,Base,,,823481,Trafalgar Law (EB02-045),6028,"{""external_provenance"": [{""exact_language"": false, ""id"": 823481, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823481], ""validated_stored_ids"": [823481]}",AMBIGUOUS,e6a6320f7eca531f4346657c7ed0ab5baf47409699501735690dd057b537a228,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
151,22257,one_piece,Uta,op13,OP13-023,OP13-023,jp,Base,,,845271|857215,Uta (OP13-023)|Uta (OP13-023),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845271, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857215, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845271, 857215], ""validated_stored_ids"": [845271, 857215]}",AMBIGUOUS,f8b1d6934a26799e3b60ba9f998ee0dec5b5ff067437708a52cc99456a0082e8,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
152,14625,one_piece,Trafalgar Law,promo,P-038,P-038,jp,Base,,,722798,Trafalgar Law (P-038),5511,"{""external_provenance"": [{""exact_language"": false, ""id"": 722798, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [722798], ""validated_stored_ids"": [722798]}",AMBIGUOUS,e376eda035471be5eeaa736c7a288841c6619a9a8b1ac26d1e5d38d294431aac,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
153,22273,one_piece,Stussy,op13,OP13-110,OP13-110,jp,Base,,,845660|857326,Stussy (OP13-110)|Stussy (OP13-110),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845660, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857326, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845660, 857326], ""validated_stored_ids"": [845660, 857326]}",AMBIGUOUS,aa84cc1ac96fcb678283af5c78fc8f3bf1ecad1a4aa8084f5a00690a7a010570,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
154,15503,one_piece,King,op01,OP01-096,OP01-096,jp,Fixed Reprint,,,690929|768358,King (OP01-096)|King (OP01-096),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690929, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768358, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690929, 768358], ""validated_stored_ids"": [690929, 768358]}",AMBIGUOUS,d65f2dc5395e8034e4cbbafb709e8e1788207f7476cd328e27f35c4eb61db803,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
155,17179,one_piece,Rebecca,op05,OP05-091,OP05-091,jp,Base,,,733426|747775,Rebecca (OP05-091)|Rebecca (OP05-091),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733426, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747775, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733426, 747775], ""validated_stored_ids"": [733426, 747775]}",AMBIGUOUS,50dd15742475591d6be384f59f5c5e24a32f137855ff817821a9f4da34239e83,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
