collection_item_id,game,card_name,selected_cardmarket_product_id,source,metric,old_current_price,new_cardmarket_low,new_cardmarket_trend,proposed_status,cardtrader_fallback
108,Magic,Art Series: Frodo Baggins,718580,cardmarket,Low,,0.2,0.58,EXACT,NO
109,Magic,Art Series: Galadriel of Lothlórien,718662,cardmarket,Low,,0.02,0.13,EXACT,NO
110,Magic,"Art Series: Merry, Esquire of Rohan",718666,cardmarket,Low,,0.02,0.13,EXACT,NO
111,Magic,"Art Series: Pippin, Guard of the Citadel",718669,cardmarket,Low,,0.02,0.14,EXACT,NO
112,Magic,Art Series: Mines of Moria,718683,cardmarket,Low,,0.02,0.19,EXACT,NO
113,Magic,"Art Series: Aragorn, King of Gondor",718685,cardmarket,Low,,0.03,0.17,EXACT,NO
114,Magic,"Art Series: Gwaihir, Greatest of the Eagles",718693,cardmarket,Low,,0.02,0.12,EXACT,NO
115,Magic,Art Series: Call for Aid,718694,cardmarket,Low,,0.02,0.14,EXACT,NO
116,Magic,Art Series: Cavern-Hoard Dragon,718700,cardmarket,Low,,0.02,0.17,EXACT,NO
117,Magic,"Art Series: Gríma, Saruman's Footman",718708,cardmarket,Low,,0.02,0.16,EXACT,NO
118,Magic,"Art Series: Merry, Warden of Isengard",718715,cardmarket,Low,,0.02,0.14,EXACT,NO
119,Magic,"Art Series: Treebeard, Gracious Host",718719,cardmarket,Low,,0.25,0.02,EXACT,NO
120,Magic,Art Series: Asceticism,718740,cardmarket,Low,,0.02,0.12,EXACT,NO
121,Magic,Art Series: Realm Seekers,718747,cardmarket,Low,,0.4,0.64,EXACT,NO
122,Magic,Art Series: Ghost Quarter,718757,cardmarket,Low,,0.02,0.12,EXACT,NO
123,Magic,Art Series: Valley of Gorgoroth,718763,cardmarket,Low,,0.02,0.18,EXACT,NO
124,Magic,"Art Series: Faramir, Steward of Gondor",718704,cardmarket,Low,,0.02,0.12,EXACT,NO
125,Magic,Art Series: Nazgûl,718672,cardmarket,Low,,0.02,0.15,EXACT,NO
126,Magic,"Art Series: Sauron, the Dark Lord",718602,cardmarket,Low,,0.02,0.19,EXACT,NO
127,Magic,"Art Series: Éowyn, Fearless Knight",718577,cardmarket,Low,,0.02,0.1,EXACT,NO
128,Magic,Art Series: Samwise Gamgee,718671,cardmarket,Low,,0.02,0.02,EXACT,NO
129,Magic,King of the Oathbreakers,738025,cardmarket,Low,,0.2,,EXACT,NO
130,Magic,Radagast the Brown,738021,cardmarket,Low,,2,,EXACT,NO
131,Magic,Art Series: Gandalf the White,718547,cardmarket,Low,,0.02,0.13,EXACT,NO
133,One Piece,Borsalino,733344,cardmarket,Low,,0.08,0.39,EXACT,NO
134,One Piece,Dracule Mihawk,768325,cardmarket,Low,,14,17.23,EXACT,NO
135,One Piece,Dracule Mihawk,768324,cardmarket,Low,,0.02,1.1,EXACT,NO
136,One Piece,Yamato,857251,cardmarket,Low,,0.05,0.58,EXACT,NO
137,One Piece,Lilith,857331,cardmarket,Low,,5.5,7.29,EXACT,NO
138,One Piece,Monkey.D.Luffy,808172,cardmarket,Low,,28,44.59,EXACT,NO
139,One Piece,Rob Lucci,733430,cardmarket,Low,,2.95,4.23,EXACT,NO
140,One Piece,X.Drake,733352,cardmarket,Low,,1.89,4.28,EXACT,NO
141,One Piece,Cavendish,768247,cardmarket,Low,,0.5,0.92,EXACT,NO
142,One Piece,Gol.D.Roger,857262,cardmarket,Low,,0.02,0.25,EXACT,NO
143,One Piece,Nefeltari Vivi,808127,cardmarket,Low,,0.1,0.47,EXACT,NO
144,One Piece,S-Snake,771756,cardmarket,Low,,0.05,0.29,EXACT,NO
145,One Piece,Koala,733281,cardmarket,Low,,0.02,0.11,EXACT,NO
146,One Piece,Monkey.D.Luffy,768265,cardmarket,Low,,0.02,0.32,EXACT,NO
147,One Piece,Yamato,808101,cardmarket,Low,,0.48,1.27,EXACT,NO
148,One Piece,Pica,733317,cardmarket,Low,,0.02,0.36,EXACT,NO
149,One Piece,Kin'emon,768285,cardmarket,Low,,0.05,0.42,EXACT,NO
150,One Piece,Trafalgar Law,808150,cardmarket,Low,,0.02,0.48,EXACT,NO
151,One Piece,Uta,857215,cardmarket,Low,,0.02,0.2,EXACT,NO
152,One Piece,Trafalgar Law,722798,cardmarket,Low,,1.8,2.45,EXACT,NO
153,One Piece,Stussy,857326,cardmarket,Low,,0.02,0.29,EXACT,NO
154,One Piece,King,768359,cardmarket,Low,,2.89,6.57,EXACT,NO
155,One Piece,Rebecca,733426,cardmarket,Low,,0.05,0.17,EXACT,NO
