collection_item_id,game,card_name,card_number,local_printing_id,resolved_printing_id,selected_cardmarket_product_id,cardmarket_url,match_status,manual_review,provenance_gap,base_low,base_trend,selected_metric,selected_metric_low,selected_metric_trend,cardmarket_low_available,selected_metric_available,cardtrader_fallback
59,Magic,"Sauron, the Necromancer",310,193,193,716069,https://www.cardmarket.com/en/Magic/Products?idProduct=716069,EXACT,NO,false,0.08,0.53,Low,0.08,0.53,YES,YES,NO
60,Magic,"Sméagol, Helpful Guide",330,437,437,717775,https://www.cardmarket.com/en/Magic/Products?idProduct=717775,EXACT,NO,false,0.05,0.52,Low,0.05,0.52,YES,YES,NO
61,Magic,Tom Bombadil,331,21,21,701768,https://www.cardmarket.com/en/Magic/Products?idProduct=701768,EXACT,NO,false,0.99,3.39,Low,0.99,3.39,YES,YES,NO
62,Magic,Rohirrim Chargers,496,12272,12272,736524,https://www.cardmarket.com/en/Magic/Products?idProduct=736524,EXACT,NO,false,0.06,0.33,Low,0.06,0.33,YES,YES,NO
63,Magic,Sword of the Animist,385,12273,12273,717998,https://www.cardmarket.com/en/Magic/Products?idProduct=717998,EXACT,NO,false,27.69,,Low,27.69,,YES,YES,NO
64,Magic,Gandalf of the Secret Fire,507,12274,12274,736555,https://www.cardmarket.com/en/Magic/Products?idProduct=736555,EXACT,NO,false,0.73,1.77,Low,0.73,1.77,YES,YES,NO
65,Magic,Shortcut to Mushrooms,638,13505,13505,738134,https://www.cardmarket.com/en/Magic/Products?idProduct=738134&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,0.05,0.18,Foil Low,,,YES,NO,NO
66,Magic,"Shadowfax, Lord of Horses",227,214,214,716135,https://www.cardmarket.com/en/Magic/Products?idProduct=716135,EXACT,NO,false,0.02,0.07,Low,0.02,0.07,YES,YES,NO
67,Magic,Fall of Gil-galad,165,12609,12609,716004,https://www.cardmarket.com/en/Magic/Products?idProduct=716004,EXACT,NO,false,0.02,0.23,Foil Low,0.02,0.63,YES,YES,NO
68,Magic,Book of Mazarbul,116,12511,12511,716003,https://www.cardmarket.com/en/Magic/Products?idProduct=716003,EXACT,NO,false,0.02,0.13,Foil Low,0.02,0.17,YES,YES,NO
69,Magic,Long List of the Ents,625,12275,12275,738108,https://www.cardmarket.com/en/Magic/Products?idProduct=738108,EXACT,NO,false,0.09,0.2,Low,0.09,0.2,YES,YES,NO
70,Magic,The Bath Song,491,13211,13211,737571,https://www.cardmarket.com/en/Magic/Products?idProduct=737571&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,0.15,0.27,Foil Low,0.15,0.32,YES,YES,NO
71,Magic,One Ring to Rule Them All,102,12483,12483,715916,https://www.cardmarket.com/en/Magic/Products?idProduct=715916,EXACT,NO,false,0.35,1.21,Foil Low,0.72,2.53,YES,YES,NO
73,Magic,Oath of the Grey Host,101,12481,12481,717047,https://www.cardmarket.com/en/Magic/Products?idProduct=717047,EXACT,NO,false,0.02,0.06,Foil Low,0.02,0.17,YES,YES,NO
74,Magic,Tale of Tinúviel,34,12347,12347,716129,https://www.cardmarket.com/en/Magic/Products?idProduct=716129,EXACT,NO,false,0.02,0.12,Foil Low,0.02,0.23,YES,YES,NO
75,Magic,War of the Last Alliance,36,12351,12351,716133,https://www.cardmarket.com/en/Magic/Products?idProduct=716133,EXACT,NO,false,0.1,0.81,Foil Low,0.19,1.31,YES,YES,NO
76,Magic,"Frodo, Sauron's Bane",448,205,205,716081,https://www.cardmarket.com/en/Magic/Products?idProduct=716081,EXACT,NO,false,0.08,0.42,Low,0.08,0.42,YES,YES,NO
77,Magic,Pippin's Bravery,414,180,180,716056,https://www.cardmarket.com/en/Magic/Products?idProduct=716056,EXACT,NO,false,0.02,0.09,Low,0.02,0.09,YES,YES,NO
78,Magic,Gandalf the White,442,187,187,716063,https://www.cardmarket.com/en/Magic/Products?idProduct=716063,EXACT,NO,false,7.95,17.72,Low,7.95,17.72,YES,YES,NO
79,Magic,"Gandalf, Friend of the Shire",401s,707,707,719346,https://www.cardmarket.com/en/Magic/Products?idProduct=719346,EXACT,NO,false,0.6,,Low,0.6,,YES,YES,NO
80,Magic,Prince Imrahil the Fair,431,149,149,716025,https://www.cardmarket.com/en/Magic/Products?idProduct=716025,EXACT,NO,false,0.02,0.15,Low,0.02,0.15,YES,YES,NO
81,Magic,Knights of Dol Amroth,432,190,190,716066,https://www.cardmarket.com/en/Magic/Products?idProduct=716066,EXACT,NO,false,0.02,0.07,Low,0.02,0.07,YES,YES,NO
82,Magic,"Gimli, Mournful Avenger",436,13101,13101,716059,https://www.cardmarket.com/en/Magic/Products?idProduct=716059&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,0.9,1.76,Foil Low,1.2,3.3,YES,YES,NO
83,Magic,The One Ring,451,207,207,716083,https://www.cardmarket.com/en/Magic/Products?idProduct=716083,EXACT,NO,false,75,81.8,Low,75,81.8,YES,YES,NO
84,Magic,Art Series: Fog on the Barrow-Downs,ART-2,545,545,718546,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,EXACT,YES,true,0.02,0.11,Low,0.02,0.11,YES,YES,NO
86,Magic,"Art Series: Goldberry, River-Daughter",ART-6,553,553,718554,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,EXACT,YES,true,0.02,0.15,Low,0.02,0.15,YES,YES,NO
87,Magic,Art Series: The Watcher in the Water,ART-7,554,554,718555,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-The-Watcher-in-the-Water-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
88,Magic,Art Series: Éomer of the Riddermark,ART-9,558,558,718559,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Eomer-of-the-Riddermark-V2,EXACT,YES,true,0.02,0.09,Low,0.02,0.09,YES,YES,NO
89,Magic,"Art Series: Gimli, Counter of Kills",ART-10,560,560,718561,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Gimli-Counter-of-Kills-V2,EXACT,YES,true,0.27,0.97,Low,0.27,0.97,YES,YES,NO
90,Magic,Art Series: Generous Ent,ART-11,562,562,718563,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Generous-Ent-V2,EXACT,YES,true,0.02,0.08,Low,0.02,0.08,YES,YES,NO
91,Magic,Art Series: Mirrormere Guardian,ART-12,565,565,718565,https://www.cardmarket.com/en/Magic/Products?idProduct=718565,EXACT,YES,true,0.1,1.24,Low,0.1,1.24,YES,YES,NO
92,Magic,"Art Series: Bilbo, Retired Burglar",ART-14,569,569,718575,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Bilbo-Retired-Burglar-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
93,Magic,"Art Series: Legolas, Counter of Kills",ART-17,574,574,718582,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Legolas-Counter-of-Kills-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
94,Magic,Art Series: Saruman of Many Colors,ART-20,581,581,718601,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Saruman-of-Many-Colors-V2,EXACT,YES,true,0.02,0.15,Low,0.02,0.15,YES,YES,NO
95,Magic,"Art Series: Sharkey, Tyrant of the Shire",ART-22,585,585,718605,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Sharkey-Tyrant-of-the-Shire-V2,EXACT,YES,true,0.02,0.17,Low,0.02,0.17,YES,YES,NO
96,Magic,"Art Series: Shelob, Child of Ungoliant",ART-23,586,586,718606,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Shelob-Child-of-Ungoliant-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
97,Magic,"Art Series: Théoden, King of Rohan",ART-25,590,590,718610,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Theoden-King-of-Rohan-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
98,Magic,Art Series: Tom Bombadil,ART-26,593,593,718613,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Tom-Bombadil-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
99,Magic,Art Series: Uglúk of the White Hand,ART-27,594,594,718614,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Ugluk-of-the-White-Hand-V2,EXACT,YES,true,0.02,0.15,Low,0.02,0.15,YES,YES,NO
100,Magic,Art Series: Plains,ART-30,601,601,718621,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Plains-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
101,Magic,Art Series: Mountain,ART-31,602,602,718622,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Mountain-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
102,Magic,Art Series: Elanor Gardner,ART-32,605,605,718625,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Elanor-Gardner-V2,EXACT,YES,true,0.02,0.11,Low,0.02,0.11,YES,YES,NO
103,Magic,"Art Series: Aragorn and Arwen, Wed",ART-33,606,606,718626,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Aragorn-and-Arwen-Wed-V2,EXACT,YES,true,0.02,0.17,Low,0.02,0.17,YES,YES,NO
104,Magic,Art Series: Bilbo's Ring,ART-37,614,614,718640,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Bilbos-Ring-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
105,Magic,"Art Series: Faramir, Field Commander",ART-38,617,617,718643,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Faramir-Field-Commander-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
106,Magic,"Art Series: Elrond, Lord of Rivendell",ART-40,620,620,718646,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Elrond-Lord-of-Rivendell-V2,EXACT,YES,true,0.02,0.18,Low,0.02,0.18,YES,YES,NO
107,Magic,Art Series: Witch-king of Angmar,ART-43,626,626,718652,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Witch-king-of-Angmar-V2,EXACT,YES,true,1.5,2.87,Low,1.5,2.87,YES,YES,NO
108,Magic,Art Series: Frodo Baggins,ART-47,572,572,718580,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Frodo-Baggins-V4,EXACT,YES,true,0.2,0.58,Low,0.2,0.58,YES,YES,NO
109,Magic,Art Series: Galadriel of Lothlórien,ART-48,636,636,718662,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Galadriel-of-Lothlorien-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
110,Magic,"Art Series: Merry, Esquire of Rohan",ART-50,640,640,718666,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Merry-Esquire-of-Rohan-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
111,Magic,"Art Series: Pippin, Guard of the Citadel",ART-51,643,643,718669,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Pippin-Guard-of-the-Citadel-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
112,Magic,Art Series: Mines of Moria,ART-56,653,653,718683,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Mines-of-Moria-V2,EXACT,YES,true,0.02,0.19,Low,0.02,0.19,YES,YES,NO
113,Magic,"Art Series: Aragorn, King of Gondor",ART-57,654,654,718685,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Aragorn-King-of-Gondor-V2,EXACT,YES,true,0.03,0.17,Low,0.03,0.17,YES,YES,NO
114,Magic,"Art Series: Gwaihir, Greatest of the Eagles",ART-59,659,659,718693,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Gwaihir-Greatest-of-the-Eagles-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
115,Magic,Art Series: Call for Aid,ART-60,660,660,718694,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Call-for-Aid-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
116,Magic,Art Series: Cavern-Hoard Dragon,ART-61,663,663,718700,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Cavern-Hoard-Dragon-V2,EXACT,YES,true,0.02,0.17,Low,0.02,0.17,YES,YES,NO
117,Magic,"Art Series: Gríma, Saruman's Footman",ART-63,667,667,718708,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Grima-Sarumans-Footman-V2,EXACT,YES,true,0.02,0.16,Low,0.02,0.16,YES,YES,NO
118,Magic,"Art Series: Merry, Warden of Isengard",ART-65,671,671,718715,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Merry-Warden-of-Isengard-V2,EXACT,YES,true,0.02,0.14,Low,0.02,0.14,YES,YES,NO
119,Magic,"Art Series: Treebeard, Gracious Host",ART-67,674,674,718719,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Treebeard-Gracious-Host-V2,EXACT,YES,true,0.25,0.02,Low,0.25,0.02,YES,YES,NO
120,Magic,Art Series: Asceticism,ART-72,684,684,718740,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Asceticism-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
121,Magic,Art Series: Realm Seekers,ART-74,689,689,718747,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Realm-Seekers-V2,EXACT,YES,true,0.4,0.64,Low,0.4,0.64,YES,YES,NO
122,Magic,Art Series: Ghost Quarter,ART-78,696,696,718757,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Ghost-Quarter-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
123,Magic,Art Series: Valley of Gorgoroth,ART-80,701,701,718763,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Valley-of-Gorgoroth-V2,EXACT,YES,true,0.02,0.18,Low,0.02,0.18,YES,YES,NO
124,Magic,"Art Series: Faramir, Steward of Gondor",ART-62,664,664,718704,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Faramir-Steward-of-Gondor-V2,EXACT,YES,true,0.02,0.12,Low,0.02,0.12,YES,YES,NO
125,Magic,Art Series: Nazgûl,ART-53,646,646,718672,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Nazgul-V2,EXACT,YES,true,0.02,0.15,Low,0.02,0.15,YES,YES,NO
126,Magic,"Art Series: Sauron, the Dark Lord",ART-21,582,582,718602,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Sauron-the-Dark-Lord-V2,EXACT,YES,true,0.02,0.19,Low,0.02,0.19,YES,YES,NO
127,Magic,"Art Series: Éowyn, Fearless Knight",ART-15,570,570,718577,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Eowyn-Fearless-Knight-V2,EXACT,YES,true,0.02,0.1,Low,0.02,0.1,YES,YES,NO
128,Magic,Art Series: Samwise Gamgee,ART-19,645,645,718671,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Samwise-Gamgee-V2,EXACT,YES,true,0.02,0.02,Low,0.02,0.02,YES,YES,NO
129,Magic,King of the Oathbreakers,780,12277,12277,738025,https://www.cardmarket.com/en/Magic/Products?idProduct=738025,EXACT,NO,false,0.2,,Low,0.2,,YES,YES,NO
130,Magic,Radagast the Brown,776,12278,12278,738021,https://www.cardmarket.com/en/Magic/Products?idProduct=738021,EXACT,NO,false,2,,Low,2,,YES,YES,NO
131,Magic,Art Series: Gandalf the White,ART-3,546,546,718547,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Gandalf-the-White-V2,EXACT,YES,true,0.02,0.13,Low,0.02,0.13,YES,YES,NO
133,One Piece,Borsalino,OP05-051,17163,17163,733344,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Borsalino-OP05-051-V1,EXACT,YES,false,0.08,0.39,Low,0.08,0.39,YES,YES,NO
134,One Piece,Dracule Mihawk,OP01-070,15439,15439,768325,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/Dracule-Mihawk-OP01-070-V2,EXACT,YES,false,14,17.23,Low,14,17.23,YES,YES,NO
135,One Piece,Dracule Mihawk,OP01-070,15437,15437,768324,https://www.cardmarket.com/en/OnePiece/Products?idProduct=768324,EXACT,YES,false,0.02,1.1,Low,0.02,1.1,YES,YES,NO
136,One Piece,Yamato,OP13-054,22263,22263,857251,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Yamato-OP13-054-V1,EXACT,YES,false,0.05,0.58,Low,0.05,0.58,YES,YES,NO
137,One Piece,Lilith,OP13-113,22215,22215,857331,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Lilith-OP13-113-V2,EXACT,YES,false,5.5,7.29,Low,5.5,7.29,YES,YES,NO
138,One Piece,Monkey.D.Luffy,EB02-061A,21131,21131,808172,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/MonkeyDLuffy-EB02-061-V2,EXACT,YES,false,28,44.59,Low,28,44.59,YES,YES,NO
139,One Piece,Rob Lucci,OP05-093,17143,17143,733430,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Rob-Lucci-OP05-093-V2,EXACT,YES,false,2.95,4.23,Low,2.95,4.23,YES,YES,NO
140,One Piece,X.Drake,OP05-055,17185,17185,733352,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/X-Drake-OP05-055-V2,EXACT,YES,false,1.89,4.28,Low,1.89,4.28,YES,YES,NO
141,One Piece,Cavendish,OP01-008,15290,15290,768247,https://www.cardmarket.com/en/OnePiece/Products?idProduct=768247,EXACT,YES,false,0.5,0.92,Low,0.5,0.92,YES,YES,NO
142,One Piece,Gol.D.Roger,OP13-064,22265,22265,857262,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/GolDRoger-OP13-064-V1,EXACT,YES,false,0.02,0.25,Low,0.02,0.25,YES,YES,NO
143,One Piece,Nefeltari Vivi,EB02-026,21085,21085,808127,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/Nefeltari-Vivi-EB02-026-V1,EXACT,YES,false,0.1,0.47,Low,0.1,0.47,YES,YES,NO
144,One Piece,S-Snake,OP08-112,19531,19531,771756,https://www.cardmarket.com/en/OnePiece/Products/Singles/Two-Legends-Non-English/S-Snake-OP08-112-V1,EXACT,YES,false,0.05,0.29,Low,0.05,0.29,YES,YES,NO
145,One Piece,Koala,OP05-006,17141,17141,733281,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Koala-OP05-006-V1,EXACT,YES,false,0.02,0.11,Low,0.02,0.11,YES,YES,NO
146,One Piece,Monkey.D.Luffy,OP01-024,15326,15326,768265,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/MonkeyDLuffy-OP01-024-V1,EXACT,YES,false,0.02,0.32,Low,0.02,0.32,YES,YES,NO
