cardmarket_product_id,product_name,collector_number,reason_unresolved,possible_interpretations,recommended_manual_review
719458,Pidgey [Call for Family | Tackle],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719459,Pidgeotto [Flap],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719460,Pidgeot [Flap | Fly],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719461,Rattata [Gnaw the Wound],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719462,Raticate [Second Bite],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719463,Spearow [Evolutionary Advantage | Speed Dive],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719464,Fearow [Beak Catch | Speed Dive],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719465,Ekans [Acid Spray],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719466,Arbok ex [Bind Down | Menacing Fangs],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719467,Pikachu [Charge | Pika Punch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719468,Raichu [Electrical Grounding | Thunder],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719469,Sandshrew [Sand Screen | Scratch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719470,Sandslash [Rumble | Spike Rend],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719471,Nidoran [F] [Poison Horn],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719472,Nidorina [Fetch Family | Sharp Fang],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719473,Nidoqueen [Queen Press | Lunge Out],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719474,Nidoran [M] [Horn Attack],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719475,Nidorino [Sharp Fang | Superpowered Horns],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719476,Nidoking [Enthusiastic King | Venom Impact],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719477,Clefairy [Moon-Viewing Invitation | Smack],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719478,Clefable [Follow Me | More Moon],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719479,Vulpix [Super Singe],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719480,Ninetales ex [Heat Wave | Mirrored Flames],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719481,Jigglypuff [Lead | Stompy Stomp],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719482,Wigglytuff ex [Expanding Body | Friend Tackle],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719483,Zubat [Revealing Echo | Bite],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719484,Golbat [Skill Dive],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719485,Oddish [Razor Leaf],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719486,Gloom [Semi-Blooming Energy | Drool],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719487,Vileplume [Fully Blooming Energy | Solar Beam],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719488,Paras [Stampede | Spore Ball],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719489,Parasect [Spread Filaments | Claw Slash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719490,Venonat [Gnaw | Beam],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719491,Venomoth [Perplexing Powder | Speed Wing],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719492,Diglett [Headbutt Bounce | Mud-Slap],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719493,Dugtrio [Headbutt Bounce | Mud Bomb],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719494,Meowth [Come Here Right Meow | Dig Claws],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719495,Persian [Rocket Call | Slash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719496,Psyduck [Overthinking | Water Gun],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719497,Golduck [Aquatic Rescue | Super Splash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719498,Mankey [Thrash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719499,Primeape [Rant and Rave | Raging Smash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719500,Growlithe [Vaporize],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719501,Arcanine [Torrid Torrent | Dynamite Fang],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719502,Poliwag [Bubble | 151],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719503,Poliwhirl [Wave Splash | Frog Hop],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719504,Poliwrath [Bubble Beam | Heroic Punch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719505,Abra [Psyshot],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719506,Kadabra [Teleportation Attack],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719507,Alakazam ex [Mind Jack | Dimensional Hand],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719508,Machop [Mountain Mashing | Punch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719509,Machoke [Mountain Ramming],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719510,Machamp [Guts | Mountain Chopping],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719511,Bellsprout [Cut | Bind Down],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719512,Weepinbell [Cut | Spray Fluid],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719513,Victreebel [Spit Up | Slow-Acting Acid],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719514,Tentacool [Tingle | Watering],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719515,Tentacruel [Poisonous Whip | Tentacular Panic],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719516,Geodude [Stiffen | Knuckle Punch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719517,Graveler [Rock Cannon | Heavy Impact],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719518,Golem ex [Dynamic Roll | Rock Blaster],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719519,Ponyta [Collect | Flop],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719520,Rapidash [Singe | Mach Turn],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719521,Slowpoke [Sea Bathing | Headbutt],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719522,Slowbro [Big Yawn | Laid-Back Tackle],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719523,Magnemite [Tiny Charge | Big Explosion],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719524,Magneton [Junk Magnet | Head Bolt],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719525,Farfetch'd [Package Deal | Leek Clobber],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719526,Doduo [Reckless Charge],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719527,Dodrio [Zooming Draw | Ballistic Beak],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719528,Seel [Chilly],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719529,Dewgong [Dual Splash | Aurora Beam],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719530,Grimer [Gummy Press],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719531,Muk [Sticky Jail | Sludge Bomb],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719543,Shellder [Shell Press],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719544,Cloyster [Protect Charge],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719545,Gastly [Suffocating Gas],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719546,Haunter [Spirit Return | Mumble],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719547,Gengar [Poltergeist | Hollow Dive],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719548,Onix [Thumpalanche | Heavy Impact],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719549,Drowzee [Zen Headbutt],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719550,Hypno [Here for Hypnosis | Super Psy Bolt],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719551,Krabby [Salt Water | Crabhammer],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719552,Kingler [Hammer Arm | Guillotine],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719553,Voltorb [Tumbling Attack],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719554,Electrode [Bang Boom Chain | Electro Ball],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719555,Exeggcute [Ball Roll],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719556,Exeggutor [Psychic | Hammer In],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719557,Cubone [Cheering Bone | Hit Twice],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719558,Marowak [Bone Throw | Boundless Power],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719559,Hitmonlee [Twister Kick | Low Kick],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719560,Hitmonchan [Counterattack | Excited Punch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719561,Lickitung [Tongue-Tied],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719562,Koffing [Suspicious Gas],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719563,Weezing [Let's Have a Blast | Spinning Fumes],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719564,Rhyhorn [Push Down | Boulder Crush],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
