cardmarket_product_id,source_product_name,source_expansion_name,source_expansion_id,source_category,source_collector_number,source_rarity,source_version,source_metacard_id,source_date_added,normalized_collector_number,normalized_card_name,detected_finish,detected_variant,detected_rarity,is_reverse_holo,is_holo,is_normal,is_promo,is_stamped,language_hint,price_guide_join_count,price_join_status,price_low,price_trend,price_avg1,price_avg7,price_avg30,price_low_holo,price_trend_holo,price_avg1_holo,price_avg7_holo,price_avg30_holo,available_items,source_currency,classification_method,classification_confidence,classification_notes
719453,Metapod [Tackle | Defensive Posture],,5328,Pokémon Single,,,,421090,2023-06-20 11:18:57,,Metapod,,,,,,,,,,1,exact_single,0.02,0.07,0.2,0.06,0.1,0.02,0.75,0.15,0.38,1.08,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719454,Butterfree [Whirlwind | Bye Bye Flight],,5328,Pokémon Single,,,,421091,2023-06-20 11:19:41,,Butterfree,,,,,,,,,,1,exact_single,0.02,0.5,0.05,0.8,0.27,0.5,6.04,0.99,6.36,4.05,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719455,Weedle [Ram | Bug Bite],,5328,Pokémon Single,,,,421092,2023-06-20 11:20:18,,Weedle,,,,,,,,,,1,exact_single,0.02,0.06,0.09,0.05,0.06,0.03,1.08,0.19,0.74,0.81,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719456,Kakuna [Cocoon Cover | Zzzt],,5328,Pokémon Single,,,,421093,2023-06-20 11:20:52,,Kakuna,,,,,,,,,,1,exact_single,0.02,0.02,0.05,0.04,0.05,0.03,4.37,2.08,2.25,1.98,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719457,Beedrill [Nadir Needle | Pierce],,5328,Pokémon Single,,,,421094,2023-06-20 11:21:25,,Beedrill,,,,,,,,,,1,exact_single,0.02,0.11,0.15,0.12,0.11,0.09,4.31,1.16,2.73,2.5,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719458,Pidgey [Call for Family | Tackle],,5328,Pokémon Single,,,,421095,2023-06-20 11:22:13,,Pidgey,,,,,,,,,,1,exact_single,0.02,0.4,3.52,0.42,0.26,0.02,2.36,0.15,1.67,1.41,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719459,Pidgeotto [Flap],,5328,Pokémon Single,,,,421096,2023-06-20 11:22:48,,Pidgeotto,,,,,,,,,,1,exact_single,0.02,0.69,0.25,0.58,0.3,0.02,1.06,0.2,0.58,0.7,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719460,Pidgeot [Flap | Fly],,5328,Pokémon Single,,,,421097,2023-06-20 11:23:26,,Pidgeot,,,,,,,,,,1,exact_single,0.02,0.15,0.18,0.08,0.15,0.39,4.09,2.45,2.82,3.94,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719461,Rattata [Gnaw the Wound],,5328,Pokémon Single,,,,421098,2023-06-20 11:24:36,,Rattata,,,,,,,,,,1,exact_single,0.02,0.11,0.04,0.06,0.76,0.02,2.18,0.72,1.41,1.59,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719462,Raticate [Second Bite],,5328,Pokémon Single,,,,421099,2023-06-20 11:25:14,,Raticate,,,,,,,,,,1,exact_single,0.02,0.02,0.11,0.08,0.32,0.08,3.81,0.6,1.94,1.91,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719463,Spearow [Evolutionary Advantage | Speed Dive],,5328,Pokémon Single,,,,421100,2023-06-20 11:25:59,,Spearow,,,,,,,,,,1,exact_single,0.02,0.04,0.03,0.03,0.05,0.02,1.56,0.15,1.53,1.01,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719464,Fearow [Beak Catch | Speed Dive],,5328,Pokémon Single,,,,421101,2023-06-20 11:26:41,,Fearow,,,,,,,,,,1,exact_single,0.02,0.02,0.24,0.11,0.6,0.02,2.45,0.5,1.8,1.46,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719465,Ekans [Acid Spray],,5328,Pokémon Single,,,,421102,2023-06-20 11:27:14,,Ekans,,,,,,,,,,1,exact_single,0.02,0.07,0.06,0.05,0.08,0.02,2.36,0.2,2.05,1.2,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719466,Arbok ex [Bind Down | Menacing Fangs],,5328,Pokémon Single,,,,421103,2023-06-20 11:27:57,,Arbok ex,,,,,,,,,,1,exact_single,0.02,0.26,0.35,0.26,0.32,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719467,Pikachu [Charge | Pika Punch],,5328,Pokémon Single,,,,421104,2023-06-20 11:28:40,,Pikachu,,,,,,,,,,1,exact_single,0.02,0.07,0.3,0.09,0.13,0.25,3.01,1,1.15,9.64,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719468,Raichu [Electrical Grounding | Thunder],,5328,Pokémon Single,,,,421105,2023-06-20 11:29:12,,Raichu,,,,,,,,,,1,exact_single,0.02,0.2,0.25,0.18,0.19,0.07,4.12,2.5,4.1,3.13,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719469,Sandshrew [Sand Screen | Scratch],,5328,Pokémon Single,,,,421106,2023-06-20 11:29:40,,Sandshrew,,,,,,,,,,1,exact_single,0.02,0.07,0.05,0.04,0.16,0.03,2.1,0.19,1.01,1.27,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719470,Sandslash [Rumble | Spike Rend],,5328,Pokémon Single,,,,421107,2023-06-20 11:30:29,,Sandslash,,,,,,,,,,1,exact_single,0.02,0.13,0.29,0.11,0.15,0.1,1.24,0.9,1.2,0.8,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719471,Nidoran [F] [Poison Horn],,5328,Pokémon Single,,,,421108,2023-06-20 11:31:55,,Nidoran [F],,,,,,,,,,1,exact_single,0.02,0.08,0.08,0.07,0.07,0.02,2.76,0.2,2.48,1.32,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719472,Nidorina [Fetch Family | Sharp Fang],,5328,Pokémon Single,,,,421109,2023-06-20 11:32:47,,Nidorina,,,,,,,,,,1,exact_single,0.02,0.13,0.38,0.21,0.13,0.02,2.07,0.15,2.62,1.37,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719473,Nidoqueen [Queen Press | Lunge Out],,5328,Pokémon Single,,,,421110,2023-06-20 11:33:26,,Nidoqueen,,,,,,,,,,1,exact_single,0.02,0.1,0.18,0.08,0.08,0.02,1.98,0.49,2.12,1.9,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719474,Nidoran [M] [Horn Attack],,5328,Pokémon Single,,,,421111,2023-06-20 11:34:01,,Nidoran [M],,,,,,,,,,1,exact_single,0.02,0.14,0.12,0.06,0.44,0.02,1.06,0.2,0.31,1.15,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719475,Nidorino [Sharp Fang | Superpowered Horns],,5328,Pokémon Single,,,,421112,2023-06-20 11:34:31,,Nidorino,,,,,,,,,,1,exact_single,0.02,0.06,0.05,0.06,0.08,0.03,1.48,0.2,1.07,0.75,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719476,Nidoking [Enthusiastic King | Venom Impact],,5328,Pokémon Single,,,,421113,2023-06-20 11:35:10,,Nidoking,,,,,,,,,,1,exact_single,0.02,0.13,0.08,0.09,0.13,0.02,5.09,2.45,5.68,2.81,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719477,Clefairy [Moon-Viewing Invitation | Smack],,5328,Pokémon Single,,,,421114,2023-06-20 11:36:10,,Clefairy,,,,,,,,,,1,exact_single,0.02,0.06,0.05,0.05,0.06,0.02,0.93,0.69,0.95,2.42,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719478,Clefable [Follow Me | More Moon],,5328,Pokémon Single,,,,421115,2023-06-20 11:37:00,,Clefable,,,,,,,,,,1,exact_single,0.02,1.1,0.15,0.09,0.9,0.02,2.89,0.94,2.92,1.79,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719479,Vulpix [Super Singe],,5328,Pokémon Single,,,,421116,2023-06-20 11:37:34,,Vulpix,,,,,,,,,,1,exact_single,0.02,0.13,0.06,0.1,0.11,0.02,1.13,0.2,0.95,1.37,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719480,Ninetales ex [Heat Wave | Mirrored Flames],,5328,Pokémon Single,,,,421117,2023-06-20 11:38:19,,Ninetales ex,,,,,,,,,,1,exact_single,0.1,0.42,0.65,0.49,0.54,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719481,Jigglypuff [Lead | Stompy Stomp],,5328,Pokémon Single,,,,421118,2023-06-20 11:39:09,,Jigglypuff,,,,,,,,,,1,exact_single,0.02,0.05,0.03,0.04,0.09,0.02,1.08,0.15,0.99,1.34,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719482,Wigglytuff ex [Expanding Body | Friend Tackle],,5328,Pokémon Single,,,,421119,2023-06-20 11:40:04,,Wigglytuff ex,,,,,,,,,,1,exact_single,0.02,0.29,0.33,0.4,0.31,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719483,Zubat [Revealing Echo | Bite],,5328,Pokémon Single,,,,421120,2023-06-20 11:40:51,,Zubat,,,,,,,,,,1,exact_single,0.02,0.07,0.12,0.06,0.26,0.1,3.41,0.5,2.51,1.59,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719484,Golbat [Skill Dive],,5328,Pokémon Single,,,,421121,2023-06-20 11:41:24,,Golbat,,,,,,,,,,1,exact_single,0.02,0.13,0.06,0.07,0.13,0.02,2.05,0.5,1.45,1.34,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719485,Oddish [Razor Leaf],,5328,Pokémon Single,,,,421122,2023-06-20 11:42:15,,Oddish,,,,,,,,,,1,exact_single,0.02,0.23,0.46,0.09,0.15,0.03,2.21,0.15,2.97,1.15,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719486,Gloom [Semi-Blooming Energy | Drool],,5328,Pokémon Single,,,,421123,2023-06-20 11:43:19,,Gloom,,,,,,,,,,1,exact_single,0.02,0.23,0.36,0.1,0.36,0.04,1.86,0.2,1.82,1.46,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719487,Vileplume [Fully Blooming Energy | Solar Beam],,5328,Pokémon Single,,,,421124,2023-06-20 11:43:57,,Vileplume,,,,,,,,,,1,exact_single,0.02,0.05,0.11,0.11,0.14,0.02,2.43,0.57,2.3,1.78,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719488,Paras [Stampede | Spore Ball],,5328,Pokémon Single,,,,421125,2023-06-20 11:44:31,,Paras,,,,,,,,,,1,exact_single,0.02,0.05,0.04,0.03,0.06,0.05,0.71,0.5,0.39,1.08,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719489,Parasect [Spread Filaments | Claw Slash],,5328,Pokémon Single,,,,421126,2023-06-20 11:46:38,,Parasect,,,,,,,,,,1,exact_single,0.02,0.08,0.08,0.06,0.07,0.15,2.65,1.22,2.07,1.43,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719490,Venonat [Gnaw | Beam],,5328,Pokémon Single,,,,421127,2023-06-20 11:47:17,,Venonat,,,,,,,,,,1,exact_single,0.02,0.02,0.17,0.13,0.43,0.19,0.95,0.2,0.4,2,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719491,Venomoth [Perplexing Powder | Speed Wing],,5328,Pokémon Single,,,,421128,2023-06-20 11:48:06,,Venomoth,,,,,,,,,,1,exact_single,0.02,0.08,0.3,0.14,0.1,0.2,2.13,0.5,0.89,1.82,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719492,Diglett [Headbutt Bounce | Mud-Slap],,5328,Pokémon Single,,,,421129,2023-06-20 11:49:20,,Diglett,,,,,,,,,,1,exact_single,0.02,0.11,0.58,0.13,0.09,0.14,2.44,0.85,1.24,1.49,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719493,Dugtrio [Headbutt Bounce | Mud Bomb],,5328,Pokémon Single,,,,421130,2023-06-20 11:49:57,,Dugtrio,,,,,,,,,,1,exact_single,0.02,0.02,0.15,0.06,0.38,0.02,5.09,0.2,3.52,2.23,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719494,Meowth [Come Here Right Meow | Dig Claws],,5328,Pokémon Single,,,,421131,2023-06-20 11:50:36,,Meowth,,,,,,,,,,1,exact_single,0.02,0.04,0.04,0.04,0.14,0.02,2.6,0.15,3.04,1.47,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719495,Persian [Rocket Call | Slash],,5328,Pokémon Single,,,,421132,2023-06-20 11:51:13,,Persian,,,,,,,,,,1,exact_single,0.02,0.13,0.22,0.11,0.09,0.03,1.03,0.15,0.86,1.32,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719496,Psyduck [Overthinking | Water Gun],,5328,Pokémon Single,,,,421133,2023-06-20 11:51:52,,Psyduck,,,,,,,,,,1,exact_single,0.02,0.14,0.55,0.14,0.23,0.03,12.68,40,11.99,5.14,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719497,Golduck [Aquatic Rescue | Super Splash],,5328,Pokémon Single,,,,421134,2023-06-20 11:52:38,,Golduck,,,,,,,,,,1,exact_single,0.02,0.29,0.59,0.29,0.19,0.1,3.15,4.7,3.25,1.69,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719498,Mankey [Thrash],,5328,Pokémon Single,,,,421135,2023-06-20 11:53:17,,Mankey,,,,,,,,,,1,exact_single,0.02,0.32,0.83,0.19,0.34,0.05,3.57,0.49,1.95,2.09,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719499,Primeape [Rant and Rave | Raging Smash],,5328,Pokémon Single,,,,421136,2023-06-20 11:53:52,,Primeape,,,,,,,,,,1,exact_single,0.02,0.07,0.05,0.07,0.08,0.3,1.46,1.45,1.34,1.58,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
