collector_number,card_name,source_metacard_id,product_count,cardmarket_product_ids,product_names,detected_variants,detected_finishes,rarities,has_reverse_holo,has_holo,has_normal,has_price_low,ambiguity_status,notes
,Beedrill,421094,1,719457,Beedrill [Nadir Needle | Pierce],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Bellsprout,421148,1,719511,Bellsprout [Cut | Bind Down],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Big Air Balloon,421237,1,719611,Big Air Balloon,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Bill's Transfer,421242,2,"719617, 719652",Bill's Transfer || Bill's Transfer,unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Blastoise ex,421088,3,"719451, 719639, 719655",Blastoise ex [Solid Shell | Twin Cannons] || Blastoise ex [Solid Shell | Twin Cannons] || Blastoise ex [Solid Shell | Twin Cannons],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Bulbasaur,421079,2,"719442, 719619",Bulbasaur [Leech Seed | 151] || Bulbasaur [Leech Seed | 151],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Butterfree,421091,1,719454,Butterfree [Whirlwind | Bye Bye Flight],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Caterpie,421089,2,"719452, 719625",Caterpie [Leaf Munch] || Caterpie [Leaf Munch],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Chansey,421192,1,719566,Chansey [Lucky Bonus | Gentle Slap],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Charizard ex,421085,3,"719448, 719638, 719654",Charizard ex [Brave Wing | Explosive Vortex] || Charizard ex [Brave Wing | Explosive Vortex] || Charizard ex [Brave Wing | Explosive Vortex],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Charmander,421083,2,"719446, 719621",Charmander [Blazing Destruction | Steady Firebreathing] || Charmander [Blazing Destruction | Steady Firebreathing],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Charmeleon,421084,2,"719447, 719622",Charmeleon [Combustion | Fire Blast] || Charmeleon [Combustion | Fire Blast],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Clefable,421115,1,719478,Clefable [Follow Me | More Moon],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Clefairy,421114,1,719477,Clefairy [Moon-Viewing Invitation | Smack],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Cloyster,421170,1,719544,Cloyster [Protect Charge],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Cubone,421183,1,719557,Cubone [Cheering Bone | Hit Twice],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Cycling Road,421243,1,719618,Cycling Road,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Daisy's Help,421241,2,"719616, 719651",Daisy's Help || Daisy's Help,unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Dewgong,421166,1,719529,Dewgong [Dual Splash | Aurora Beam],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Diglett,421129,1,719492,Diglett [Headbutt Bounce | Mud-Slap],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Ditto,421211,1,719585,Ditto [Transformative Start | Splup],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Dodrio,421164,1,719527,Dodrio [Zooming Draw | Ballistic Beak],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Doduo,421163,1,719526,Doduo [Reckless Charge],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Dragonair,421227,2,"719601, 719635",Dragonair [Beat | Aqua Slash] || Dragonair [Beat | Aqua Slash],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Dragonite,421228,1,719602,Dragonite [Jet Cruise | Dragon Pulse],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Dratini,421226,1,719600,Dratini [Beat | Draconic Whip],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Drowzee,421175,1,719549,Drowzee [Zen Headbutt],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Dugtrio,421130,1,719493,Dugtrio [Headbutt Bounce | Mud Bomb],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Eevee,421212,1,719586,Eevee [Colorful Friends | Skip],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Ekans,421102,1,719465,Ekans [Acid Spray],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Electabuzz,421204,1,719578,Electabuzz [Electro Combo | Light Punch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Electrode,421180,1,719554,Electrode [Bang Boom Chain | Electro Ball],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Energy Sticker,421231,1,719605,Energy Sticker,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Erika's Invitation,421239,3,"719614, 719649, 719659",Erika's Invitation || Erika's Invitation || Erika's Invitation,unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Exeggcute,421181,1,719555,Exeggcute [Ball Roll],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Exeggutor,421182,1,719556,Exeggutor [Psychic | Hammer In],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Farfetch'd,421162,1,719525,Farfetch'd [Package Deal | Leek Clobber],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Fearow,421101,1,719464,Fearow [Beak Catch | Speed Dive],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Flareon,421215,1,719589,Flareon [Destructive Flame | Fighting Blaze],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Gastly,421171,1,719545,Gastly [Suffocating Gas],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Gengar,421173,1,719547,Gengar [Poltergeist | Hollow Dive],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Geodude,421153,1,719516,Geodude [Stiffen | Knuckle Punch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Giovanni's Charisma,421240,3,"719615, 719650, 719660",Giovanni's Charisma || Giovanni's Charisma || Giovanni's Charisma,unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Gloom,421123,1,719486,Gloom [Semi-Blooming Energy | Drool],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Golbat,421121,1,719484,Golbat [Skill Dive],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Goldeen,421197,1,719571,Goldeen [Triple Strike | Sprinkle Water],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Golduck,421134,1,719497,Golduck [Aquatic Rescue | Super Splash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Golem ex,421155,2,"719518, 719644",Golem ex [Dynamic Roll | Rock Blaster] || Golem ex [Dynamic Roll | Rock Blaster],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Grabber,421232,1,719606,Grabber,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Graveler,421154,1,719517,Graveler [Rock Cannon | Heavy Impact],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Grimer,421167,1,719530,Grimer [Gummy Press],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Growlithe,421137,1,719500,Growlithe [Vaporize],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Gyarados,421209,1,719583,Gyarados [Untamed One | Hyper Beam],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Haunter,421172,1,719546,Haunter [Spirit Return | Mumble],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Hitmonchan,421186,1,719560,Hitmonchan [Counterattack | Excited Punch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Hitmonlee,421185,1,719559,Hitmonlee [Twister Kick | Low Kick],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Horsea,421195,1,719569,Horsea [Rain Splash | Sharp Fin],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Hypno,421176,1,719550,Hypno [Here for Hypnosis | Super Psy Bolt],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Ivysaur,421081,2,"719444, 719620",Ivysaur [Leech Seed | Vine Whip | 151] || Ivysaur [Leech Seed | Vine Whip | 151],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Jigglypuff,421118,1,719481,Jigglypuff [Lead | Stompy Stomp],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Jolteon,421214,1,719588,Jolteon [Linear Attack | Fighting Lightning],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Jynx ex,421203,2,"719577, 719646",Jynx ex [Heart-Stopping Kiss | Icy Wind] || Jynx ex [Heart-Stopping Kiss | Icy Wind],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Kabuto,421219,1,719593,Kabuto [Double Scratch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Kabutops,421220,1,719594,Kabutops [Ancient Way | Draining Blade],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Kadabra,421143,1,719506,Kadabra [Teleportation Attack],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Kakuna,421093,1,719456,Kakuna [Cocoon Cover | Zzzt],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Kangaskhan ex,421194,2,"719568, 719645",Kangaskhan ex [Triple Draw | Incessant Punching] || Kangaskhan ex [Triple Draw | Incessant Punching],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Kingler,421178,1,719552,Kingler [Hammer Arm | Guillotine],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Koffing,421188,1,719562,Koffing [Suspicious Gas],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Krabby,421177,1,719551,Krabby [Salt Water | Crabhammer],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Lapras,421210,1,719584,Lapras [Hop on My Back | Aqua Edge],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Leftovers,215862,1,719613,Leftovers,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Lickitung,421187,1,719561,Lickitung [Tongue-Tied],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Machamp,421147,1,719510,Machamp [Guts | Mountain Chopping],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Machoke,421146,2,"719509, 719630",Machoke [Mountain Ramming] || Machoke [Mountain Ramming],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Machop,421145,1,719508,Machop [Mountain Mashing | Punch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Magikarp,421208,1,719582,Magikarp [Splashy Splash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Magmar,421205,1,719579,Magmar [Live Coal | Flare Combo],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Magnemite,421160,1,719523,Magnemite [Tiny Charge | Big Explosion],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Magneton,421161,1,719524,Magneton [Junk Magnet | Head Bolt],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Mankey,421135,1,719498,Mankey [Thrash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Marowak,421184,1,719558,Marowak [Bone Throw | Boundless Power],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Meowth,421131,1,719494,Meowth [Come Here Right Meow | Dig Claws],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Metapod,421090,1,719453,Metapod [Tackle | Defensive Posture],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Mew ex,421230,4,"719604, 719648, 719658, 719661",Mew ex [Restart | Genome Hacking] || Mew ex [Restart | Genome Hacking] || Mew ex [Restart | Genome Hacking] || Mew ex [Restart | Genome Hacking],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Mewtwo,421229,2,"719603, 719636",Mewtwo [Reflective Barrier | Psyslash] || Mewtwo [Reflective Barrier | Psyslash],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Moltres,421225,1,719599,Moltres [Flare Float | Blazing Flight],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Mr. Mime,421201,2,"719575, 719632",Mr. Mime [Mimic Barrier | Psypower] || Mr. Mime [Mimic Barrier | Psypower],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Muk,421168,1,719531,Muk [Sticky Jail | Sludge Bomb],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Nidoking,421113,2,"719476, 719627",Nidoking [Enthusiastic King | Venom Impact] || Nidoking [Enthusiastic King | Venom Impact],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Nidoqueen,421110,1,719473,Nidoqueen [Queen Press | Lunge Out],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Nidoran [F],421108,1,719471,Nidoran [F] [Poison Horn],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Nidoran [M],421111,1,719474,Nidoran [M] [Horn Attack],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Nidorina,421109,1,719472,Nidorina [Fetch Family | Sharp Fang],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Nidorino,421112,1,719475,Nidorino [Sharp Fang | Superpowered Horns],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Ninetales ex,421117,2,"719480, 719641",Ninetales ex [Heat Wave | Mirrored Flames] || Ninetales ex [Heat Wave | Mirrored Flames],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Oddish,421122,1,719485,Oddish [Razor Leaf],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Omanyte,421217,2,"719591, 719633",Omanyte [Tentacular Return] || Omanyte [Tentacular Return],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Omastar,421218,1,719592,Omastar [Primordial Tentacles | Aqua Split],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Onix,421174,1,719548,Onix [Thumpalanche | Heavy Impact],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Paras,421125,1,719488,Paras [Stampede | Spore Ball],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Parasect,421126,1,719489,Parasect [Spread Filaments | Claw Slash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Persian,421132,1,719495,Persian [Rocket Call | Slash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Pidgeot,421097,1,719460,Pidgeot [Flap | Fly],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Pidgeotto,421096,1,719459,Pidgeotto [Flap],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Pidgey,421095,1,719458,Pidgey [Call for Family | Tackle],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Pikachu,421104,2,"719467, 719626",Pikachu [Charge | Pika Punch] || Pikachu [Charge | Pika Punch],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Pinsir,421206,1,719580,Pinsir [Vise Grip | Reckless Throw],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Poliwag,421139,1,719502,Poliwag [Bubble | 151],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Poliwhirl,421140,2,"719503, 719629",Poliwhirl [Wave Splash | Frog Hop] || Poliwhirl [Wave Splash | Frog Hop],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Poliwrath,421141,1,719504,Poliwrath [Bubble Beam | Heroic Punch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Ponyta,421156,1,719519,Ponyta [Collect | Flop],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Porygon,421216,1,719590,Porygon [Conversion 4],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Primeape,421136,1,719499,Primeape [Rant and Rave | Raging Smash],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Protective Goggles,421236,1,719610,Protective Goggles,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Psyduck,421133,2,"719496, 719628",Psyduck [Overthinking | Water Gun] || Psyduck [Overthinking | Water Gun],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Raichu,421105,1,719468,Raichu [Electrical Grounding | Thunder],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Rapidash,421157,1,719520,Rapidash [Singe | Mach Turn],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Raticate,421099,1,719462,Raticate [Second Bite],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Rattata,421098,1,719461,Rattata [Gnaw the Wound],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Rhydon,421191,1,719565,Rhydon [Wrack Down | Charismatic Drill],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Rhyhorn,421190,1,719564,Rhyhorn [Push Down | Boulder Crush],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Rigid Band,421238,1,719612,Rigid Band,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Sandshrew,421106,1,719469,Sandshrew [Sand Screen | Scratch],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
