collector_number,printed_set_number,card_name,tcgdex_name,category,pokemon_species,dex_number,rarity,rarity_group,hp,pokemon_type,stage,evolves_from,is_ex,artist,regulation_mark,abilities,attacks,weaknesses,retreat,has_normal,has_holo,has_reverse_holo,variant_confidence,official_source,metadata_sources,source_confidence,source_notes,tcgdex_id,pokemon_tcg_api_id,image
011,011,Metapod,Metapod,Pokemon,Metapod,[11],Common,Common,90,"[""Grass""]",Stage1,Caterpie,0,Tika Matsuno,G,[],"[""Tackle"",""Defensive Posture""]","[{""type"":""Fire"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-011,sv3pt5-11,https://assets.tcgdex.net/en/sv/sv03.5/011
012,012,Butterfree,Butterfree,Pokemon,Butterfree,[12],Uncommon,Uncommon,130,"[""Grass""]",Stage2,Metapod,0,Tika Matsuno,G,[],"[""Whirlwind"",""Bye-Bye Flight""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-012,sv3pt5-12,https://assets.tcgdex.net/en/sv/sv03.5/012
013,013,Weedle,Weedle,Pokemon,Weedle,[13],Common,Common,50,"[""Grass""]",Basic,,0,nisimono,G,[],"[""Ram"",""Bug Bite""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-013,sv3pt5-13,https://assets.tcgdex.net/en/sv/sv03.5/013
014,014,Kakuna,Kakuna,Pokemon,Kakuna,[14],Common,Common,80,"[""Grass""]",Stage1,Weedle,0,nisimono,G,"[""Cocoon Cover""]","[""Zzzt""]","[{""type"":""Fire"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-014,sv3pt5-14,https://assets.tcgdex.net/en/sv/sv03.5/014
015,015,Beedrill,Beedrill,Pokemon,Beedrill,[15],Rare,Rare,130,"[""Grass""]",Stage2,Kakuna,0,nisimono,G,[],"[""Nadir Needle"",""Pierce""]","[{""type"":""Fire"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-015,sv3pt5-15,https://assets.tcgdex.net/en/sv/sv03.5/015
016,016,Pidgey,Pidgey,Pokemon,Pidgey,[16],Common,Common,50,"[""Colorless""]",Basic,,0,Oswaldo KATO,G,[],"[""Call for Family"",""Tackle""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-016,sv3pt5-16,https://assets.tcgdex.net/en/sv/sv03.5/016
017,017,Pidgeotto,Pidgeotto,Pokemon,Pidgeotto,[17],Common,Common,80,"[""Colorless""]",Stage1,Pidgey,0,Oswaldo KATO,G,[],"[""Flap""]","[{""type"":""Lightning"",""value"":""×2""}]",0,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-017,sv3pt5-17,https://assets.tcgdex.net/en/sv/sv03.5/017
018,018,Pidgeot,Pidgeot,Pokemon,Pidgeot,[18],Uncommon,Uncommon,130,"[""Colorless""]",Stage2,Pidgeotto,0,Oswaldo KATO,G,[],"[""Flap"",""Fly""]","[{""type"":""Lightning"",""value"":""×2""}]",0,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-018,sv3pt5-18,https://assets.tcgdex.net/en/sv/sv03.5/018
019,019,Rattata,Rattata,Pokemon,Rattata,[19],Common,Common,40,"[""Colorless""]",Basic,,0,sowsow,G,[],"[""Gnaw the Wound""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-019,sv3pt5-19,https://assets.tcgdex.net/en/sv/sv03.5/019
020,020,Raticate,Raticate,Pokemon,Raticate,[20],Uncommon,Uncommon,70,"[""Colorless""]",Stage1,Rattata,0,sowsow,G,[],"[""Second Bite""]","[{""type"":""Fighting"",""value"":""×2""}]",0,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-020,sv3pt5-20,https://assets.tcgdex.net/en/sv/sv03.5/020
021,021,Spearow,Spearow,Pokemon,Spearow,[21],Common,Common,50,"[""Colorless""]",Basic,,0,Gemi,G,"[""Evolutionary Advantage""]","[""Speed Dive""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-021,sv3pt5-21,https://assets.tcgdex.net/en/sv/sv03.5/021
022,022,Fearow,Fearow,Pokemon,Fearow,[22],Uncommon,Uncommon,90,"[""Colorless""]",Stage1,Spearow,0,Gemi,G,[],"[""Beak Catch"",""Speed Dive""]","[{""type"":""Lightning"",""value"":""×2""}]",0,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-022,sv3pt5-22,https://assets.tcgdex.net/en/sv/sv03.5/022
023,023,Ekans,Ekans,Pokemon,Ekans,[23],Common,Common,70,"[""Darkness""]",Basic,,0,Kedamahadaitai Yawarakai,G,[],"[""Acid Spray""]","[{""type"":""Fighting"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-023,sv3pt5-23,https://assets.tcgdex.net/en/sv/sv03.5/023
024,024,Arbok ex,Arbok ex,Pokemon,Arbok,[24],Double rare,Double Rare,270,"[""Darkness""]",Stage1,Ekans,1,Eske Yoshinob,G,[],"[""Bind Down"",""Menacing Fangs""]","[{""type"":""Fighting"",""value"":""×2""}]",2,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-024,sv3pt5-24,https://assets.tcgdex.net/en/sv/sv03.5/024
025,025,Pikachu,Pikachu,Pokemon,Pikachu,[25],Common,Common,60,"[""Lightning""]",Basic,,0,Naoyo Kimura,G,[],"[""Charge"",""Pika Punch""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-025,sv3pt5-25,https://assets.tcgdex.net/en/sv/sv03.5/025
026,026,Raichu,Raichu,Pokemon,Raichu,[26],Rare,Rare,120,"[""Lightning""]",Stage1,Pikachu,0,Naoyo Kimura,G,"[""Electrical Grounding""]","[""Thunder""]","[{""type"":""Fighting"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-026,sv3pt5-26,https://assets.tcgdex.net/en/sv/sv03.5/026
027,027,Sandshrew,Sandshrew,Pokemon,Sandshrew,[27],Common,Common,60,"[""Fighting""]",Basic,,0,kodama,G,"[""Sand Screen""]","[""Scratch""]","[{""type"":""Grass"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-027,sv3pt5-27,https://assets.tcgdex.net/en/sv/sv03.5/027
028,028,Sandslash,Sandslash,Pokemon,Sandslash,[28],Uncommon,Uncommon,120,"[""Fighting""]",Stage1,Sandshrew,0,kodama,G,[],"[""Rumble"",""Spike Rend""]","[{""type"":""Grass"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-028,sv3pt5-28,https://assets.tcgdex.net/en/sv/sv03.5/028
029,029,Nidoran♀,Nidoran♀,Pokemon,Nidoran♀,[29],Common,Common,60,"[""Darkness""]",Basic,,0,Teeziro,G,[],"[""Poison Horn""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-029,sv3pt5-29,https://assets.tcgdex.net/en/sv/sv03.5/029
030,030,Nidorina,Nidorina,Pokemon,Nidorina,[30],Uncommon,Uncommon,90,"[""Darkness""]",Stage1,Nidoran♀,0,Teeziro,G,[],"[""Fetch Family"",""Sharp Fang""]","[{""type"":""Fighting"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-030,sv3pt5-30,https://assets.tcgdex.net/en/sv/sv03.5/030
031,031,Nidoqueen,Nidoqueen,Pokemon,Nidoqueen,[31],Uncommon,Uncommon,170,"[""Darkness""]",Stage2,Nidorina,0,Teeziro,G,[],"[""Queen Press"",""Lunge Out""]","[{""type"":""Fighting"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-031,sv3pt5-31,https://assets.tcgdex.net/en/sv/sv03.5/031
032,032,Nidoran♂,Nidoran♂,Pokemon,Nidoran♂,[32],Common,Common,60,"[""Darkness""]",Basic,,0,Shiburingaru,G,[],"[""Horn Attack""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-032,sv3pt5-32,https://assets.tcgdex.net/en/sv/sv03.5/032
033,033,Nidorino,Nidorino,Pokemon,Nidorino,[33],Uncommon,Uncommon,90,"[""Darkness""]",Stage1,Nidoran♂,0,Shiburingaru,G,[],"[""Sharp Fang"",""Superpowered Horns""]","[{""type"":""Fighting"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-033,sv3pt5-33,https://assets.tcgdex.net/en/sv/sv03.5/033
034,034,Nidoking,Nidoking,Pokemon,Nidoking,[34],Rare,Rare,170,"[""Darkness""]",Stage2,Nidorino,0,Shiburingaru,G,"[""Enthusiastic King""]","[""Venomous Impact""]","[{""type"":""Fighting"",""value"":""×2""}]",3,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-034,sv3pt5-34,https://assets.tcgdex.net/en/sv/sv03.5/034
035,035,Clefairy,Clefairy,Pokemon,Clefairy,[35],Common,Common,60,"[""Psychic""]",Basic,,0,ryoma uratsuka,G,[],"[""Moon-Viewing Invitation"",""Smack""]","[{""type"":""Metal"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-035,sv3pt5-35,https://assets.tcgdex.net/en/sv/sv03.5/035
036,036,Clefable,Clefable,Pokemon,Clefable,[36],Uncommon,Uncommon,100,"[""Psychic""]",Stage1,Clefairy,0,ryoma uratsuka,G,[],"[""Follow Me"",""More Moon""]","[{""type"":""Metal"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-036,sv3pt5-36,https://assets.tcgdex.net/en/sv/sv03.5/036
037,037,Vulpix,Vulpix,Pokemon,Vulpix,[37],Common,Common,70,"[""Fire""]",Basic,,0,kawayoo,G,[],"[""Super Singe""]","[{""type"":""Water"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-037,sv3pt5-37,https://assets.tcgdex.net/en/sv/sv03.5/037
038,038,Ninetales ex,Ninetales ex,Pokemon,Ninetales,[38],Double rare,Double Rare,260,"[""Fire""]",Stage1,Vulpix,1,kawayoo,G,[],"[""Heat Wave"",""Mirrored Flames""]","[{""type"":""Water"",""value"":""×2""}]",2,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-038,sv3pt5-38,https://assets.tcgdex.net/en/sv/sv03.5/038
039,039,Jigglypuff,Jigglypuff,Pokemon,Jigglypuff,[39],Common,Common,70,"[""Colorless""]",Basic,,0,saino misaki,G,[],"[""Lead"",""Stompy Stomp""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-039,sv3pt5-39,https://assets.tcgdex.net/en/sv/sv03.5/039
040,040,Wigglytuff ex,Wigglytuff ex,Pokemon,Wigglytuff,[40],Double rare,Double Rare,250,"[""Colorless""]",Stage1,Jigglypuff,1,Saki Hayashiro,G,"[""Expanding Body""]","[""Friend Tackle""]","[{""type"":""Fighting"",""value"":""×2""}]",3,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-040,sv3pt5-40,https://assets.tcgdex.net/en/sv/sv03.5/040
