collector_number,card_name,rarity,finish,variant_status,variant_source,variant_confidence,variant_notes,detected_treatment,treatment_source,treatment_confidence
007,Squirtle,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733602,721198; local_target_ids=none; finish is separate from rarity.",stamp=pokemon-center,tcgdex.variants_detailed,SUPPORTED
007,Squirtle,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733602,794910; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
007,Squirtle,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=pokemon-center,tcgdex.variants_detailed,MEDIUM
007,Squirtle,Common,reverse_holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
008,Wartortle,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733603; local_target_ids=none; finish is separate from rarity.,,,
008,Wartortle,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733603; local_target_ids=none; finish is separate from rarity.,,,
009,Blastoise ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733604,816812; local_target_ids=none; finish is separate from rarity.",,,
010,Caterpie,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733605; local_target_ids=none; finish is separate from rarity.,,,
010,Caterpie,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733605; local_target_ids=none; finish is separate from rarity.,,,
011,Metapod,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733606; local_target_ids=none; finish is separate from rarity.,,,
011,Metapod,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733606; local_target_ids=none; finish is separate from rarity.,,,
012,Butterfree,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733607; local_target_ids=none; finish is separate from rarity.,,,
012,Butterfree,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733607; local_target_ids=none; finish is separate from rarity.,,,
013,Weedle,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733608; local_target_ids=none; finish is separate from rarity.,,,
013,Weedle,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733608; local_target_ids=none; finish is separate from rarity.,,,
014,Kakuna,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733609; local_target_ids=none; finish is separate from rarity.,,,
014,Kakuna,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733609; local_target_ids=none; finish is separate from rarity.,,,
015,Beedrill,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733610; local_target_ids=none; finish is separate from rarity.,,,
015,Beedrill,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733610; local_target_ids=none; finish is separate from rarity.,,,
016,Pidgey,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733611; local_target_ids=none; finish is separate from rarity.,,,
016,Pidgey,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733611; local_target_ids=none; finish is separate from rarity.,,,
017,Pidgeotto,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733612; local_target_ids=none; finish is separate from rarity.,,,
017,Pidgeotto,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733612; local_target_ids=none; finish is separate from rarity.,,,
018,Pidgeot,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733613; local_target_ids=none; finish is separate from rarity.,,,
018,Pidgeot,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733613; local_target_ids=none; finish is separate from rarity.,,,
019,Rattata,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733614; local_target_ids=none; finish is separate from rarity.,,,
019,Rattata,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733614; local_target_ids=none; finish is separate from rarity.,,,
020,Raticate,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733615; local_target_ids=none; finish is separate from rarity.,,,
020,Raticate,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733615; local_target_ids=none; finish is separate from rarity.,,,
021,Spearow,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733616; local_target_ids=none; finish is separate from rarity.,,,
021,Spearow,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733616; local_target_ids=none; finish is separate from rarity.,,,
022,Fearow,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733617; local_target_ids=none; finish is separate from rarity.,,,
022,Fearow,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733617; local_target_ids=none; finish is separate from rarity.,,,
023,Ekans,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733618; local_target_ids=none; finish is separate from rarity.,,,
023,Ekans,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733618; local_target_ids=none; finish is separate from rarity.,,,
024,Arbok ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733619; local_target_ids=none; finish is separate from rarity.,,,
025,Pikachu,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733620,748474,845404; local_target_ids=none; finish is separate from rarity.",stamp=pokemon-together; stamp=snowflake,tcgdex.variants_detailed,SUPPORTED
025,Pikachu,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733620,794911; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
025,Pikachu,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=pokemon-together,tcgdex.variants_detailed,MEDIUM
025,Pikachu,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=snowflake,tcgdex.variants_detailed,MEDIUM
025,Pikachu,Common,reverse_holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
026,Raichu,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733621,864950; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
026,Raichu,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733621; local_target_ids=none; finish is separate from rarity.,,,
026,Raichu,Rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
027,Sandshrew,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733622; local_target_ids=none; finish is separate from rarity.,,,
027,Sandshrew,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733622; local_target_ids=none; finish is separate from rarity.,,,
028,Sandslash,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733623; local_target_ids=none; finish is separate from rarity.,,,
028,Sandslash,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733623; local_target_ids=none; finish is separate from rarity.,,,
029,Nidoran♀,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733624; local_target_ids=none; finish is separate from rarity.,,,
029,Nidoran♀,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733624; local_target_ids=none; finish is separate from rarity.,,,
030,Nidorina,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733625; local_target_ids=none; finish is separate from rarity.,,,
030,Nidorina,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733625; local_target_ids=none; finish is separate from rarity.,,,
031,Nidoqueen,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733626; local_target_ids=none; finish is separate from rarity.,,,
031,Nidoqueen,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733626; local_target_ids=none; finish is separate from rarity.,,,
032,Nidoran♂,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733627; local_target_ids=none; finish is separate from rarity.,,,
032,Nidoran♂,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733627; local_target_ids=none; finish is separate from rarity.,,,
033,Nidorino,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733628; local_target_ids=none; finish is separate from rarity.,,,
033,Nidorino,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733628; local_target_ids=none; finish is separate from rarity.,,,
034,Nidoking,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733629; local_target_ids=none; finish is separate from rarity.,,,
034,Nidoking,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733629; local_target_ids=none; finish is separate from rarity.,,,
035,Clefairy,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733630; local_target_ids=none; finish is separate from rarity.,,,
035,Clefairy,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733630; local_target_ids=none; finish is separate from rarity.,,,
036,Clefable,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733631; local_target_ids=none; finish is separate from rarity.,,,
036,Clefable,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733631; local_target_ids=none; finish is separate from rarity.,,,
037,Vulpix,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733632; local_target_ids=none; finish is separate from rarity.,,,
037,Vulpix,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733632; local_target_ids=none; finish is separate from rarity.,,,
038,Ninetales ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733633; local_target_ids=none; finish is separate from rarity.,,,
039,Jigglypuff,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733634; local_target_ids=none; finish is separate from rarity.,,,
039,Jigglypuff,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733634; local_target_ids=none; finish is separate from rarity.,,,
040,Wigglytuff ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733635; local_target_ids=none; finish is separate from rarity.,,,
041,Zubat,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733636; local_target_ids=none; finish is separate from rarity.,,,
041,Zubat,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733636; local_target_ids=none; finish is separate from rarity.,,,
042,Golbat,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733637; local_target_ids=none; finish is separate from rarity.,,,
042,Golbat,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733637; local_target_ids=none; finish is separate from rarity.,,,
043,Oddish,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733638; local_target_ids=none; finish is separate from rarity.,,,
043,Oddish,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733638; local_target_ids=none; finish is separate from rarity.,,,
044,Gloom,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733639; local_target_ids=none; finish is separate from rarity.,,,
044,Gloom,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733639; local_target_ids=none; finish is separate from rarity.,,,
045,Vileplume,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733640; local_target_ids=none; finish is separate from rarity.,,,
045,Vileplume,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733640; local_target_ids=none; finish is separate from rarity.,,,
046,Paras,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733641; local_target_ids=none; finish is separate from rarity.,,,
046,Paras,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733641; local_target_ids=none; finish is separate from rarity.,,,
047,Parasect,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733642; local_target_ids=none; finish is separate from rarity.,,,
047,Parasect,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733642; local_target_ids=none; finish is separate from rarity.,,,
048,Venonat,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733643; local_target_ids=none; finish is separate from rarity.,,,
048,Venonat,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733643; local_target_ids=none; finish is separate from rarity.,,,
049,Venomoth,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733644; local_target_ids=none; finish is separate from rarity.,,,
049,Venomoth,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733644; local_target_ids=none; finish is separate from rarity.,,,
050,Diglett,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733645; local_target_ids=none; finish is separate from rarity.,,,
050,Diglett,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733645; local_target_ids=none; finish is separate from rarity.,,,
051,Dugtrio,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733646; local_target_ids=none; finish is separate from rarity.,,,
051,Dugtrio,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733646; local_target_ids=none; finish is separate from rarity.,,,
052,Meowth,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733647; local_target_ids=none; finish is separate from rarity.,,,
052,Meowth,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733647; local_target_ids=none; finish is separate from rarity.,,,
053,Persian,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733648; local_target_ids=none; finish is separate from rarity.,,,
053,Persian,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733648; local_target_ids=none; finish is separate from rarity.,,,
054,Psyduck,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733649; local_target_ids=none; finish is separate from rarity.,,,
054,Psyduck,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733649; local_target_ids=none; finish is separate from rarity.,,,
055,Golduck,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733650; local_target_ids=none; finish is separate from rarity.,,,
055,Golduck,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733650; local_target_ids=none; finish is separate from rarity.,,,
056,Mankey,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733651; local_target_ids=none; finish is separate from rarity.,,,
056,Mankey,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733651; local_target_ids=none; finish is separate from rarity.,,,
057,Primeape,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733652; local_target_ids=none; finish is separate from rarity.,,,
057,Primeape,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733652; local_target_ids=none; finish is separate from rarity.,,,
058,Growlithe,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733653; local_target_ids=none; finish is separate from rarity.,,,
058,Growlithe,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733653; local_target_ids=none; finish is separate from rarity.,,,
059,Arcanine,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733654; local_target_ids=none; finish is separate from rarity.,,,
059,Arcanine,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733654; local_target_ids=none; finish is separate from rarity.,,,
060,Poliwag,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733655; local_target_ids=none; finish is separate from rarity.,,,
060,Poliwag,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733655; local_target_ids=none; finish is separate from rarity.,,,
061,Poliwhirl,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733656; local_target_ids=none; finish is separate from rarity.,,,
061,Poliwhirl,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733656; local_target_ids=none; finish is separate from rarity.,,,
062,Poliwrath,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733657; local_target_ids=none; finish is separate from rarity.,,,
062,Poliwrath,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733657; local_target_ids=none; finish is separate from rarity.,,,
063,Abra,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733658; local_target_ids=none; finish is separate from rarity.,,,
063,Abra,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733658; local_target_ids=none; finish is separate from rarity.,,,
064,Kadabra,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733659; local_target_ids=none; finish is separate from rarity.,,,
064,Kadabra,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733659; local_target_ids=none; finish is separate from rarity.,,,
065,Alakazam ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733660; local_target_ids=none; finish is separate from rarity.,,,
066,Machop,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733661; local_target_ids=none; finish is separate from rarity.,,,
066,Machop,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733661; local_target_ids=none; finish is separate from rarity.,,,
067,Machoke,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733662; local_target_ids=none; finish is separate from rarity.,,,
067,Machoke,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733662; local_target_ids=none; finish is separate from rarity.,,,
068,Machamp,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733663,864951; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
068,Machamp,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733663; local_target_ids=none; finish is separate from rarity.,,,
068,Machamp,Rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
069,Bellsprout,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733664; local_target_ids=none; finish is separate from rarity.,,,
069,Bellsprout,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733664; local_target_ids=none; finish is separate from rarity.,,,
