idProduct,collector_number,canonical_id,compatible_physical_printing_ids,compatible_finishes,finish_scope,evidence,confidence
719583,130,23485,"[25415,25416]","[""holo"",""reverse_holo""]",multiple,name_signature=gyarados; attack_signature=untamed one | hyper beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719584,131,23486,"[25417,25418]","[""normal"",""reverse_holo""]",multiple,name_signature=lapras; attack_signature=hop on my back | aqua edge; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719585,132,23487,"[25419,25420]","[""holo"",""reverse_holo""]",multiple,name_signature=ditto; attack_signature=transformative start | splup; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719586,133,23488,"[25421,25422]","[""normal"",""reverse_holo""]",multiple,name_signature=eevee; attack_signature=colorful friends | skip; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719587,134,23489,"[25423,25424]","[""holo"",""reverse_holo""]",multiple,name_signature=vaporeon; attack_signature=spiral drain | fighting whirlpool; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719588,135,23490,"[25425,25426]","[""holo"",""reverse_holo""]",multiple,name_signature=jolteon; attack_signature=linear attack | fighting lightning; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719589,136,23491,"[25427,25428]","[""holo"",""reverse_holo""]",multiple,name_signature=flareon; attack_signature=destructive flame | fighting blaze; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719590,137,23492,"[25429,25430]","[""normal"",""reverse_holo""]",multiple,name_signature=porygon; attack_signature=conversion 4; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719592,139,23494,"[25433,25434]","[""holo"",""reverse_holo""]",multiple,name_signature=omastar; attack_signature=primordial tentacles | aqua split; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719593,140,23495,"[25435,25436]","[""normal"",""reverse_holo""]",multiple,name_signature=kabuto; attack_signature=double scratch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719594,141,23496,"[25437,25438]","[""holo"",""reverse_holo""]",multiple,name_signature=kabutops; attack_signature=ancient way | draining blade; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719595,142,23497,"[25439,25440]","[""holo"",""reverse_holo""]",multiple,name_signature=aerodactyl; attack_signature=glide | devolution ray; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719596,143,23498,"[25441,25442]","[""normal"",""reverse_holo""]",multiple,name_signature=snorlax; attack_signature=voraciousness | thudding press; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719597,144,23499,"[25443,25444]","[""holo"",""reverse_holo""]",multiple,name_signature=articuno; attack_signature=ice float | blizzard; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719599,146,23501,"[25446,25447]","[""holo"",""reverse_holo""]",multiple,name_signature=moltres; attack_signature=flare float | blazing flight; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719600,147,23502,"[25448,25449]","[""normal"",""reverse_holo""]",multiple,name_signature=dratini; attack_signature=beat | draconic whip; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719602,149,23504,"[25452,25453]","[""holo"",""reverse_holo""]",multiple,name_signature=dragonite; attack_signature=jet cruise | dragon pulse; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719603,150,23505,"[25454,25455]","[""holo"",""reverse_holo""]",multiple,name_signature=mewtwo; attack_signature=reflective barrier | psyslash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719605,159,23514,"[25471,25472]","[""normal"",""reverse_holo""]",multiple,name_signature=energy sticker; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719606,162,23517,"[25477,25478]","[""normal"",""reverse_holo""]",multiple,name_signature=grabber; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719607,153,23508,"[25459,25460]","[""normal"",""reverse_holo""]",multiple,name_signature=antique helix fossil; attack_signature=helical swell; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719608,152,23507,"[25457,25458]","[""normal"",""reverse_holo""]",multiple,name_signature=antique dome fossil; attack_signature=domed armor; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719609,154,23509,"[25461,25462]","[""normal"",""reverse_holo""]",multiple,name_signature=antique old amber; attack_signature=amber protection; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719610,164,23519,"[25481,25482]","[""normal"",""reverse_holo""]",multiple,name_signature=protective goggles; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719611,155,23510,"[25463,25464]","[""normal"",""reverse_holo""]",multiple,name_signature=big air balloon; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719612,165,23520,"[25483,25484]","[""normal"",""reverse_holo""]",multiple,name_signature=rigid band; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719613,163,23518,"[25479,25480]","[""normal"",""reverse_holo""]",multiple,name_signature=leftovers; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719618,157,23512,"[25467,25468]","[""normal"",""reverse_holo""]",multiple,name_signature=cycling road; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719634,143,23498,[],[],unknown,name_signature=snorlax; attack_signature=voraciousness | thudding press; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719636,150,23505,[],[],unknown,name_signature=mewtwo; attack_signature=reflective barrier | psyslash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719662,206,23561,[25525],"[""holo""]",unknown,name_signature=switch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719663,207,23562,[25526],"[""holo""]",unknown,name_signature=basic psychic energy; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
