card_id,collector_number,card_name,finish,rarity,cardmarket_direct_low_available,cardmarket_external_reverse_low_available,pokemon_tcg_api_tcgplayer_exact_finish_available,tcgdex_tcgplayer_exact_finish_available,tcgplayer_exact_finish_available,recommended_source,pricing_confidence,notes
25177,007,Squirtle,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25178,007,Squirtle,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25179,008,Wartortle,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25180,008,Wartortle,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25181,009,Blastoise ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25182,010,Caterpie,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25183,010,Caterpie,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25184,011,Metapod,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25185,011,Metapod,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25186,012,Butterfree,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25187,012,Butterfree,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25188,013,Weedle,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25189,013,Weedle,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25190,014,Kakuna,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25191,014,Kakuna,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25192,015,Beedrill,holo,Rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25193,015,Beedrill,reverse_holo,Rare,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25194,016,Pidgey,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25195,016,Pidgey,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25196,017,Pidgeotto,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25197,017,Pidgeotto,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25198,018,Pidgeot,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25199,018,Pidgeot,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25200,019,Rattata,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25201,019,Rattata,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25202,020,Raticate,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25203,020,Raticate,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25204,021,Spearow,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25205,021,Spearow,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25206,022,Fearow,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25207,022,Fearow,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25208,023,Ekans,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25209,023,Ekans,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25210,024,Arbok ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25211,025,Pikachu,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25212,025,Pikachu,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25213,026,Raichu,holo,Rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25214,026,Raichu,reverse_holo,Rare,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25215,027,Sandshrew,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25216,027,Sandshrew,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25217,028,Sandslash,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25218,028,Sandslash,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25219,029,Nidoran♀,normal,Common,False,False,False,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25220,029,Nidoran♀,reverse_holo,Common,False,False,False,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25221,030,Nidorina,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25222,030,Nidorina,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25223,031,Nidoqueen,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25224,031,Nidoqueen,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25225,032,Nidoran♂,normal,Common,False,False,False,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25226,032,Nidoran♂,reverse_holo,Common,False,False,False,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25227,033,Nidorino,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25228,033,Nidorino,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25229,034,Nidoking,holo,Rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25230,034,Nidoking,reverse_holo,Rare,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25231,035,Clefairy,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25232,035,Clefairy,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25233,036,Clefable,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25234,036,Clefable,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25235,037,Vulpix,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25236,037,Vulpix,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25237,038,Ninetales ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25238,039,Jigglypuff,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25239,039,Jigglypuff,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25240,040,Wigglytuff ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25241,041,Zubat,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25242,041,Zubat,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25243,042,Golbat,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25244,042,Golbat,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25245,043,Oddish,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25246,043,Oddish,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25247,044,Gloom,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25248,044,Gloom,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25249,045,Vileplume,holo,Rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25250,045,Vileplume,reverse_holo,Rare,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25251,046,Paras,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25252,046,Paras,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25253,047,Parasect,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25254,047,Parasect,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25255,048,Venonat,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25256,048,Venonat,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25257,049,Venomoth,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25258,049,Venomoth,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25259,050,Diglett,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25260,050,Diglett,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25261,051,Dugtrio,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25262,051,Dugtrio,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25263,052,Meowth,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25264,052,Meowth,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25265,053,Persian,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25266,053,Persian,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25267,054,Psyduck,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25268,054,Psyduck,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25269,055,Golduck,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25270,055,Golduck,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25271,056,Mankey,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25272,056,Mankey,reverse_holo,Common,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25273,057,Primeape,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25274,057,Primeape,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
